['879', '307', '822', '988']
['466', '521', '513', '851']
['809', '440', '861']
['416', '974', '768']
['748', '564', '39']
['257', '284', '929']
['907', '390', '417']
['268', '637', '852']
['902', '445', '731']
['233', '591', '774']
['134', '206', '538']
['31', '710', '211']
['708', '696', '629']
['136', '1', '450']
['453', '460', '269']
['391', '482', '113']
['722', '921', '184']
['585', '621', '194']
['336', '870', '658']
['106', '773', '403']
['509', '957', '85']
['577', '940', '418']
['769', '812', '964']
['993', '330', '766']
['331', '983', '288']
['994', '210', '653']
['524', '966', '84']
['771', '617', '100']
['130', '79', '192']
['679', '200', '864']
['478', '274', '131']
['580', '388', '124']
['703', '705', '598']
['137', '874', '55']
['459', '120', '608']
['322', '841', '493']
['960', '894', '245']
['888', '180', '982']
['987', '431', '47']
['732', '7', '647']
['308', '920', '666']
['490', '111', '317']
['304', '581', '612']
['813', '158', '237']
['986', '798', '693']
['427', '688', '394']
['142', '728', '842']
['250', '599', '878']
['400', '597', '849']
['316', '24', '632']
['351', '444', '350']
['2', '223', '834']
['36', '94', '909']
['557', '884', '360']
['356', '270', '399']
['694', '946', '827']
['359', '99', '933']
['407', '63', '623']
['605', '733', '788']
['334', '465', '240']
['692', '913', '607']
['553', '319', '464']
['735', '30', '413']
['588', '838', '21']
['171', '151', '148']
['808', '259', '636']
['18', '297', '296']
['522', '740', '778']
['575', '806', '76']
['292', '565', '555']
['506', '924', '724']
['188', '651', '291']
['246', '755', '241']
['172', '255', '786']
['328', '845', '196']
['528', '944', '363']
['81', '697', '793']
['558', '344', '481']
['115', '678', '700']
['961', '747', '488']
['496', '896', '48']
['15', '145', '718']
['116', '547', '189']
['448', '782', '263']
['178', '398', '835']
['335', '298', '741']
['67', '467', '949']
['108', '19', '701']
['645', '559', '992']
['313', '177', '16']
['302', '294', '470']
['615', '763', '75']
['386', '945', '537']
['479', '690', '90']
['368', '936', '372']
['469', '212', '326']
['573', '495', '254']
['160', '33', '984']
['848', '777', '579']
['46', '844', '855']
['13', '485', '333']
['128', '925', '468']
['80', '817', '261']
['699', '877', '595']
['807', '0', '761']
['687', '905', '762']
['219', '58', '371']
['582', '866', '42']
['256', '374', '603']
['624', '702', '976']
['927', '425', '563']
['167', '339', '865']
['321', '833', '886']
['77', '614', '680']
['141', '454', '104']
['309', '613', '975']
['442', '727', '791']
['548', '663', '517']
['430', '181', '739']
['540', '821', '265']
['942', '560', '70']
['475', '596', '451']
['207', '312', '176']
['750', '667', '795']
['871', '745', '850']
['12', '810', '110']
['815', '955', '234']
['51', '707', '520']
['757', '64', '578']
['804', '674', '502']
['185', '981', '872']
['885', '236', '364']
['73', '765', '917']
['384', '800', '271']
['132', '218', '408']
['904', '985', '337']
['633', '443', '589']
['28', '656', '665']
['11', '119', '379']
['650', '52', '179']
['751', '354', '433']
['977', '406', '670']
['948', '561', '862']
['583', '54', '532']
['89', '847', '824']
['455', '370', '277']
['754', '918', '165']
['684', '290', '825']
['452', '162', '916']
['44', '934', '527']
['729', '939', '805']
['357', '691', '549']
['542', '512', '618']
['347', '27', '789']
['477', '734', '8']
['715', '978', '389']
['910', '889', '183']
['900', '514', '536']
['320', '965', '146']
['203', '348', '738']
['341', '996', '197']
['235', '147', '95']
['863', '227', '857']
['569', '332', '875']
['681', '887', '726']
['935', '473', '832']
['23', '353', '215']
['534', '753', '594']
['586', '686', '299']
['101', '208', '125']
['342', '174', '68']
['56', '526', '991']
['251', '135', '69']
['129', '492', '338']
['535', '366', '380']
['990', '515', '634']
['422', '799', '346']
['118', '895', '760']
['37', '625', '43']
['87', '723', '393']
['435', '72', '217']
['489', '796', '499']
['630', '709', '639']
['914', '439', '790']
['568', '3', '107']
['622', '839', '231']
['222', '419', '14']
['860', '584', '315']
['404', '168', '897']
['574', '720', '602']
['816', '749', '730']
['775', '655', '672']
['117', '880', '248']
['912', '273', '275']
['133', '501', '487']
['510', '572', '882']
['139', '420', '840']
['676', '381', '378']
['787', '247', '324']
['138', '958', '685']
['610', '471', '641']
['683', '91', '9']
['458', '424', '412']
['899', '66', '759']
['843', '794', '97']
['169', '149', '164']
['264', '314', '523']
['545', '260', '311']
['369', '831', '209']
['343', '253', '640']
['83', '742', '480']
['967', '930', '541']
['243', '355', '345']
['352', '736', '592']
['503', '497', '362']
['979', '932', '508']
['600', '616', '437']
['950', '662', '544']
['383', '531', '325']
['931', '71', '668']
['272', '959', '173']
['554', '78', '937']
['671', '689', '252']
['367', '484', '539']
['462', '783', '59']
['17', '249', '103']
['567', '310', '229']
['962', '859', '463']
['61', '432', '698']
['947', '114', '867']
['161', '566', '329']
['441', '519', '429']
['57', '25', '803']
['881', '201', '34']
['943', '187', '744']
['611', '191', '392']
['767', '673', '677']
['828', '421', '457']
['953', '915', '923']
['516', '295', '285']
['814', '155', '434']
['92', '375', '922']
['198', '891', '195']
['306', '518', '654']
['267', '628', '204']
['318', '4', '682']
['491', '121', '868']
['152', '483', '102']
['952', '278', '643']
['635', '606', '938']
['387', '695', '38']
['772', '123', '436']
['305', '906', '525']
['780', '792', '202']
['216', '5', '746']
['396', '159', '428']
['587', '997', '660']
['41', '410', '287']
['620', '62', '289']
['995', '6', '543']
['358', '96', '883']
['182', '266', '550']
['426', '438', '40']
['969', '186', '893']
['823', '593', '956']
['811', '829', '175']
['928', '26', '340']
['228', '109', '903']
['382', '22', '963']
['199', '385', '293']
['836', '395', '238']
['29', '802', '648']
['970', '657', '638']
['286', '258', '590']
['627', '377', '908']
['511', '737', '170']
['631', '53', '781']
['743', '571', '818']
['112', '486', '414']
['401', '530', '853']
['725', '770', '776']
['221', '230', '279']
['35', '854', '830']
['644', '242', '869']
['474', '498', '713']
['244', '461', '890']
['150', '224', '156']
['604', '65', '327']
['642', '752', '652']
['60', '163', '784']
['456', '546', '88']
['74', '801', '716']
['576', '779', '397']
['758', '361', '45']
['764', '166', '98']
['926', '556', '213']
['415', '714', '533']
['402', '972', '282']
['649', '989', '785']
['276', '858', '552']
['717', '529', '303']
['601', '819', '704']
['826', '504', '220']
['980', '376', '507']
['447', '32', '239']
['154', '669', '262']
['365', '876', '122']
['157', '711', '93']
['721', '797', '143']
['301', '820', '140']
['901', '86', '911']
['205', '193', '719']
['225', '837', '500']
['300', '127', '405']
['232', '954', '973']
['226', '505', '373']
['646', '609', '49']
['323', '968', '105']
['919', '892', '20']
['873', '659', '971']
['476', '153', '449']
['626', '214', '551']
['712', '281', '10']
['423', '664', '411']
['494', '190', '619']
['570', '50', '898']
['706', '409', '951']
['283', '144', '675']
['856', '756', '446']
['82', '126', '562']
['349', '472', '661']
['846', '280', '941']
