['274', '976', '554', '947', '975', '700', '653', '54', '290', '527', '454']
['413', '188', '841', '377', '651', '303', '194', '525', '209', '284', '215']
['712', '887', '547', '852', '988', '823', '433', '448', '4', '30', '672']
['177', '736', '884', '132', '977', '339', '187', '818', '776', '831', '327']
['306', '276', '127', '840', '466', '50', '966', '195', '251', '715', '389']
['557', '331', '25', '784', '171', '77', '357', '459', '593', '997', '66']
['684', '779', '687', '138', '291', '574', '937', '140', '349', '506', '317']
['384', '227', '224', '296', '18', '475', '440', '813', '604', '174', '493']
['309', '702', '825', '311', '461', '199', '670', '374', '8', '834', '628']
['81', '336', '308', '456', '29', '623', '93', '846', '666', '526', '110']
['756', '91', '36', '257', '649', '206', '287', '128', '614', '661', '392']
['764', '957', '562', '842', '621', '401', '407', '85', '869', '113', '778']
['681', '540', '484', '147', '45', '921', '16', '347', '504', '218', '938']
['692', '412', '565', '613', '233', '740', '609', '69', '97', '47', '517']
['816', '534', '231', '334', '145', '156', '362', '305', '568', '761', '607']
['897', '998', '903', '21', '996', '747', '719', '297', '3', '936', '581']
['428', '90', '739', '533', '398', '355', '835', '629', '255', '480', '393']
['221', '419', '717', '264', '72', '173', '587', '280', '713', '95', '893']
['426', '298', '720', '932', '394', '180', '694', '595', '954', '381', '300']
['292', '708', '901', '961', '635', '19', '870', '521', '87', '65', '916']
['650', '400', '682', '757', '28', '42', '405', '910', '608', '563']
['307', '769', '409', '817', '6', '913', '2', '580', '858', '192']
['809', '376', '693', '826', '237', '89', '808', '625', '71', '238']
['439', '369', '591', '342', '830', '248', '755', '902', '553', '450']
['978', '751', '390', '864', '294', '458', '909', '881', '365', '370']
['135', '329', '420', '133', '537', '411', '967', '611', '107', '363']
['117', '259', '39', '155', '726', '431', '270', '734', '495', '356']
['320', '746', '149', '447', '106', '972', '766', '636', '724', '528']
['780', '990', '783', '295', '646', '551', '15', '51', '368', '641']
['202', '663', '785', '883', '471', '442', '441', '566', '807', '699']
['325', '512', '691', '379', '382', '912', '289', '801', '971', '172']
['167', '906', '316', '558', '79', '588', '876', '10', '473', '414']
['258', '340', '627', '686', '344', '738', '958', '948', '773', '502']
['134', '803', '176', '57', '158', '732', '711', '680', '873', '542']
['664', '443', '824', '12', '730', '421', '579', '189', '429', '744']
['878', '861', '963', '594', '508', '302', '518', '560', '862', '366']
['631', '953', '669', '430', '765', '539', '618', '324', '61', '418']
['152', '915', '697', '859', '507', '828', '169', '930', '268', '75']
['121', '103', '900', '323', '886', '676', '485', '46', '470', '535']
['853', '293', '474', '960', '352', '943', '273', '911', '230', '882']
['832', '346', '23', '396', '546', '205', '993', '499', '481', '170']
['786', '922', '836', '942', '667', '353', '577', '698', '333', '272']
['728', '267', '126', '154', '190', '590', '387', '299', '617', '759']
