['308', '884', '908', '768', '68']
['229', '942', '239', '454', '581']
['434', '419', '988', '186', '520']
['274', '824', '344', '793', '968']
['146', '2', '19', '85', '392']
['384', '720', '842', '740', '432']
['571', '334', '485', '297', '526']
['841', '61', '614', '759', '607']
['428', '466', '29', '505', '862']
['247', '233', '574', '472', '639']
['527', '894', '4', '661', '827']
['44', '155', '382', '337', '284']
['413', '396', '770', '550', '999']
['957', '993', '537', '238', '389']
['742', '72', '279', '577', '818']
['843', '591', '127', '757', '158']
['320', '534', '77', '248', '566']
['309', '121', '12', '235', '882']
['316', '923', '595', '624', '366']
['631', '906', '162', '172', '203']
['483', '242', '133', '128', '480']
['681', '585', '193', '319', '393']
['751', '409', '377', '985', '365']
['331', '805', '97', '122', '497']
['709', '846', '381', '287', '110']
['31', '306', '784', '609', '517']
['345', '408', '151', '579', '873']
['25', '885', '594', '936', '893']
['81', '476', '801', '411', '506']
['695', '866', '159', '448', '580']
['557', '292', '646', '643', '490']
['811', '762', '425', '625', '499']
['311', '693', '512', '244', '45']
['130', '339', '678', '608', '597']
['163', '897', '922', '145', '440']
['364', '257', '979', '398', '835']
['237', '15', '332', '994', '338']
['216', '679', '288', '911', '604']
['786', '682', '154', '719', '943']
['544', '142', '691', '82', '41']
['749', '513', '8', '590', '470']
['62', '697', '149', '714', '379']
['228', '267', '808', '375', '75']
['982', '746', '420', '407', '206']
['28', '352', '424', '616', '215']
['888', '878', '225', '819', '773']
['167', '461', '900', '436', '600']
['935', '245', '189', '474', '43']
['832', '329', '21', '317', '192']
['668', '343', '847', '674', '327']
['376', '775', '802', '104', '140']
['914', '23', '558', '834', '568']
['803', '963', '992', '864', '111']
['756', '765', '823', '475', '744']
['708', '737', '905', '173', '53']
['857', '861', '16', '596', '71']
['689', '504', '812', '611', '414']
['887', '644', '234', '486', '848']
['840', '35', '653', '989', '563']
['975', '913', '137', '195', '462']
['325', '182', '685', '814', '738']
['152', '797', '919', '542', '795']
['761', '701', '446', '707', '282']
['940', '669', '696', '330', '10']
['974', '575', '199', '929', '863']
['692', '202', '593', '966', '349']
['92', '717', '14', '977', '891']
['412', '540', '250', '610', '716']
['369', '491', '166', '980', '636']
['809', '26', '930', '967', '495']
['769', '42', '7', '251', '997']
['258', '739', '667', '38', '602']
['197', '918', '690', '79', '876']
['735', '523', '817', '187', '46']
['259', '70', '670', '871', '429']
['853', '901', '401', '54', '869']
['779', '983', '34', '100', '972']
['592', '395', '30', '107', '672']
['430', '6', '533', '362', '958']
['931', '340', '88', '283', '699']
['650', '783', '67', '828', '368']
['134', '619', '386', '212', '358']
['496', '851', '649', '37', '488']
['748', '218', '300', '423', '500']
['33', '336', '962', '787', '255']
['637', '291', '747', '268', '278']
['780', '385', '664', '57', '771']
['328', '915', '52', '103', '584']
['599', '844', '518', '89', '230']
['790', '621', '548', '304', '493']
['132', '561', '144', '938', '552']
['927', '655', '654', '837', '617']
['439', '95', '290', '214', '877']
['640', '702', '211', '564', '603']
['889', '223', '443', '108', '471']
['826', '794', '638', '87', '916']
['998', '83', '478', '48', '641']
['73', '736', '634', '303', '912']
['627', '180', '13', '890', '715']
['295', '632', '750', '721', '315']
['464', '934', '949', '32', '630']
['422', '322', '164', '459', '69']
['984', '171', '965', '529', '65']
['374', '431', '243', '734', '236']
['204', '570', '932', '302', '743']
['91', '438', '80', '260', '628']
['545', '588', '498', '270', '789']
['58', '852', '514', '51', '937']
['335', '926', '928', '390', '209']
['764', '266', '822', '457', '788']
['222', '96', '657', '106', '971']
['126', '353', '956', '181', '612']
['509', '63', '924', '253', '573']
['188', '921', '1', '170', '849']
['226', '836', '78', '24', '387']
['879', '455', '143', '652', '813']
['141', '281', '946', '371', '583']
['725', '941', '183', '961', '441']
['27', '799', '217', '156', '402']
['269', '294', '605', '129', '356']
['792', '221', '105', '954', '902']
['722', '976', '447', '555', '831']
['415', '753', '169', '560', '700']
['705', '647', '706', '606', '249']
['301', '11', '109', '323', '551']
['978', '856', '205', '519', '907']
['620', '816', '800', '346', '724']
['136', '673', '955', '66', '321']
['178', '112', '56', '981', '318']
['460', '479', '964', '372', '347']
['117', '845', '231', '39', '532']
['572', '224', '829', '732', '703']
['543', '973', '815', '839', '659']
['219', '541', '587', '324', '391']
['531', '373', '403', '442', '370']
['254', '160', '256', '711', '598']
['565', '970', '763', '399', '660']
['904', '147', '950', '421', '90']
['547', '49', '675', '925', '445']
['987', '191', '484', '481', '939']
['177', '635', '755', '405', '310']
['264', '618', '333', '286', '418']
['556', '262', '360', '589', '991']
['959', '213', '782', '886', '933']
['767', '730', '623', '47', '807']
['451', '546', '210', '960', '355']
['272', '503', '467', '995', '524']
['9', '280', '880', '492', '549']
['687', '854', '444', '463', '285']
['562', '899', '622', '359', '55']
['36', '416', '50', '874', '729']
['196', '772', '200', '313', '821']
['139', '683', '194', '752', '86']
['298', '883', '576', '698', '502']
['694', '449', '688', '348', '232']
['64', '656', '510', '116', '785']
['920', '20', '501', '666', '174']
['569', '241', '898', '351', '838']
['760', '383', '582', '662', '450']
['728', '456', '896', '766', '948']
['850', '507', '945', '508', '731']
['642', '367', '417', '271', '261']
['341', '394', '125', '713', '601']
['947', '184', '18', '123', '858']
['265', '718', '676', '458', '881']
['307', '969', '559', '868', '482']
['357', '342', '777', '305', '586']
['207', '426', '539', '148', '165']
['138', '615', '168', '860', '240']
['354', '798', '833', '951', '175']
['671', '208', '796', '74', '910']
['131', '663', '404', '677', '494']
['986', '895', '553', '538', '40']
['427', '59', '952', '433', '312']
['903', '865', '530', '806', '246']
['723', '648', '397', '361', '776']
['84', '314', '113', '804', '892']
['17', '468', '185', '745', '528']
['157', '150', '870', '727', '179']
['153', '626', '996', '758', '326']
['120', '686', '633', '289', '855']
['658', '406', '469', '135', '0']
['990', '774', '98', '124', '522']
['554', '76', '99', '651', '119']
['567', '227', '275', '452', '665']
['684', '176', '875', '101', '378']
['645', '477', '293', '867', '435']
['953', '825', '201', '741', '388']
['93', '511', '909', '487', '299']
['465', '754', '161', '944', '273']
['453', '859', '115', '791', '778']
['22', '198', '820', '473', '363']
['296', '380', '118', '810', '521']
['872', '726', '114', '680', '578']
['712', '516', '437', '410', '277']
['60', '190', '5', '263', '704']
['94', '525', '781', '535', '917']
