['627', '221', '139', '523']
['89', '723', '181', '469']
['715', '361', '623', '209']
['295', '11', '651', '680']
['543', '292', '718', '661']
['537', '626', '527', '110']
['71', '204', '289', '282']
['435', '673', '224', '668']
['236', '486', '127', '552']
['216', '381', '507', '533']
['348', '694', '325', '621']
['645', '326', '518', '602']
['188', '488', '353', '16']
['583', '572', '577', '612']
['688', '28', '128', '9']
['257', '366', '287', '740']
['440', '752', '207', '701']
['343', '310', '511', '760']
['401', '726', '683', '561']
['240', '785', '99', '653']
['297', '408', '170', '380']
['692', '384', '298', '634']
['341', '12', '360', '639']
['264', '306', '134', '799']
['31', '275', '197', '553']
['526', '159', '678', '277']
['235', '519', '179', '171']
['725', '255', '365', '418']
['296', '779', '323', '14']
['267', '123', '61', '468']
['112', '797', '773', '615']
['624', '260', '662', '513']
['750', '37', '213', '436']
['557', '610', '521', '103']
['6', '775', '327', '340']
['81', '732', '109', '768']
['546', '534', '248', '346']
['484', '415', '790', '55']
['187', '104', '194', '672']
['635', '332', '447', '409']
['273', '505', '563', '616']
['80', '771', '88', '68']
['696', '94', '145', '451']
['347', '309', '2', '167']
['372', '564', '434', '724']
['160', '339', '328', '424']
['274', '485', '517', '417']
['687', '284', '230', '647']
['681', '467', '751', '413']
['570', '657', '58', '471']
['283', '30', '271', '643']
['747', '693', '153', '630']
['313', '258', '685', '595']
['703', '470', '378', '716']
['404', '453', '442', '245']
['108', '105', '25', '85']
['387', '56', '665', '675']
['238', '674', '46', '405']
['791', '641', '457', '493']
['593', '769', '132', '600']
['256', '23', '637', '64']
['753', '293', '574', '532']
['300', '133', '589', '784']
['357', '454', '10', '66']
['75', '87', '250', '47']
['29', '560', '345', '499']
['350', '679', '398', '364']
['479', '620', '352', '106']
['575', '385', '254', '333']
['702', '777', '318', '609']
['86', '565', '118', '97']
['196', '376', '200', '316']
['233', '439', '237', '411']
['585', '244', '67', '192']
['708', '755', '203', '177']
['466', '246', '107', '618']
['152', '608', '52', '559']
['157', '349', '32', '502']
['382', '190', '396', '495']
['319', '73', '590', '414']
['671', '359', '425', '450']
['580', '762', '210', '102']
['208', '125', '182', '617']
['490', '227', '121', '140']
['202', '329', '229', '48']
['567', '65', '308', '428']
['22', '476', '155', '162']
['199', '395', '472', '33']
['92', '51', '433', '776']
['49', '281', '539', '412']
['689', '149', '664', '522']
['304', '268', '195', '677']
['746', '321', '601', '393']
['220', '782', '695', '131']
['45', '461', '611', '355']
['614', '72', '161', '419']
['406', '410', '530', '739']
['764', '225', '13', '648']
['62', '423', '515', '783']
['180', '531', '443', '497']
['748', '234', '279', '770']
['226', '369', '4', '91']
['427', '699', '642', '38']
['7', '604', '540', '191']
['787', '390', '8', '581']
['320', '742', '631', '21']
['676', '514', '719', '158']
['41', '757', '501', '397']
['44', '509', '734', '212']
['456', '795', '389', '217']
['163', '374', '571', '368']
['625', '549', '558', '682']
['758', '794', '735', '276']
['334', '524', '554', '579']
['63', '774', '315', '95']
['19', '57', '17', '266']
['780', '613', '727', '26']
['129', '588', '707', '375']
['77', '556', '596', '312']
['649', '214', '259', '40']
['756', '458', '644', '141']
['666', '686', '294', '70']
['510', '636', '714', '311']
['130', '18', '475', '420']
['78', '218', '730', '211']
['541', '429', '278', '265']
['729', '542', '135', '721']
['562', '50', '34', '786']
['150', '116', '74', '96']
['455', '474', '462', '331']
['660', '628', '69', '303']
['496', '205', '599', '206']
['362', '669', '377', '430']
['483', '656', '736', '174']
['422', '667', '144', '731']
['299', '737', '122', '189']
['247', '500', '781', '337']
['117', '60', '59', '335']
['545', '798', '548', '198']
['228', '114', '670', '338']
['83', '330', '184', '119']
['720', '399', '646', '697']
['544', '492', '183', '156']
['741', '242', '788', '638']
['136', '15', '568', '344']
['448', '416', '432', '594']
['219', '460', '317', '322']
['633', '765', '759', '239']
['584', '402', '463', '215']
['691', '173', '90', '84']
['566', '506', '98', '512']
['290', '288', '792', '370']
['478', '249', '291', '520']
['711', '351', '704', '371']
['232', '603', '591', '578']
['186', '473', '597', '528']
['305', '728', '35', '261']
['172', '587', '301', '761']
['386', '796', '690', '655']
['223', '619', '713', '379']
['516', '126', '407', '555']
['394', '431', '529', '392']
['607', '388', '285', '76']
['336', '538', '766', '598']
['652', '356', '743', '148']
['383', '536', '459', '698']
['654', '3', '241', '164']
['147', '464', '270', '508']
['738', '36', '124', '93']
['573', '547', '324', '606']
['421', '201', '243', '100']
['138', '169', '789', '165']
['491', '314', '426', '43']
['251', '705', '222', '550']
['605', '0', '551', '480']
['712', '498', '449', '592']
['452', '166', '168', '700']
['176', '272', '354', '39']
['494', '53', '487', '632']
['582', '178', '1', '403']
['717', '42', '79', '778']
['706', '253', '175', '302']
['82', '115', '24', '373']
['535', '193', '280', '663']
['767', '709', '441', '659']
['772', '525', '763', '444']
['586', '710', '722', '20']
['286', '744', '400', '438']
['569', '482', '391', '481']
['640', '622', '503', '113']
['504', '262', '342', '137']
['576', '154', '146', '185']
['263', '684', '54', '754']
['307', '27', '151', '629']
['489', '111', '142', '793']
['5', '745', '269', '658']
['101', '120', '477', '446']
['367', '358', '650', '143']
['749', '465', '437', '363']
['252', '733', '445', '231']
