['59', '751', '142', '851', '225', '28', '679', '718', '401', '421', '729', '87', '839', '30', '522', '301', '245', '842', '799', '592', '980', '392', '455', '697', '562', '36', '610', '348', '355', '238', '528', '649', '314', '827']
['73', '637', '565', '308', '969', '770', '459', '828', '576', '590', '218', '939', '17', '155', '200', '471', '154', '129', '789', '955', '976', '219', '45', '457', '51', '234', '429', '695', '67', '12', '730', '79', '635', '815']
['409', '176', '112', '870', '972', '819', '923', '728', '77', '166', '432', '98', '123', '931', '984', '513', '920', '619', '42', '768', '674', '48', '553', '124', '282', '743', '897', '963', '11', '505', '374', '868', '773', '661']
['959', '884', '988', '237', '14', '950', '501', '151', '262', '254', '701', '188', '435', '865', '960', '159', '186', '242', '372', '504', '631', '544', '736', '561', '830', '985', '47', '727', '928', '667', '149', '753', '383', '356']
['439', '9', '205', '765', '814', '580', '300', '818', '389', '816', '419', '484', '425', '57', '32', '15', '490', '680', '758', '573', '837', '10', '255', '488', '111', '414', '406', '475', '800', '740', '558', '584', '140', '630']
['557', '986', '331', '982', '120', '922', '340', '653', '956', '80', '338', '215', '202', '121', '52', '840', '265', '109', '464', '415', '690', '20', '187', '412', '889', '369', '872', '467', '864', '869', '916', '299', '882', '326']
['978', '127', '60', '678', '424', '917', '493', '134', '772', '336', '385', '983', '591', '345', '832', '905', '605', '288', '261', '113', '305', '33', '191', '693', '942', '622', '609', '164', '511', '161', '666', '583', '628']
['569', '248', '527', '537', '715', '230', '117', '798', '416', '182', '313', '407', '251', '871', '474', '586', '660', '43', '110', '126', '833', '99', '93', '696', '659', '278', '450', '598', '269', '682', '243', '744', '672']
['756', '163', '664', '503', '805', '961', '654', '395', '620', '292', '483', '382', '732', '835', '4', '295', '309', '572', '177', '717', '924', '564', '910', '260', '506', '285', '291', '90', '44', '656', '397', '206', '312']
['974', '139', '83', '21', '359', '699', '940', '476', '794', '1', '433', '333', '681', '953', '783', '784', '930', '381', '162', '925', '582', '472', '304', '393', '987', '853', '845', '180', '991', '264', '810', '181', '277']
['274', '376', '615', '103', '212', '703', '937', '593', '919', '492', '370', '480', '82', '214', '702', '687', '199', '147', '802', '380', '866', '8', '104', '612', '720', '913', '74', '954', '543', '125', '944', '508', '731']
['311', '211', '932', '491', '53', '287', '943', '454', '31', '306', '247', '534', '760', '183', '880', '526', '413', '390', '686', '158', '132', '302', '420', '787', '524', '320', '222', '669', '929', '168', '594', '611', '761']
['229', '91', '993', '160', '270', '271', '335', '769', '829', '303', '136', '244', '361', '655', '440', '358', '174', '639', '748', '384', '551', '0', '510', '250', '958', '548', '310', '734', '824', '447', '634', '446', '88']
['339', '203', '994', '581', '226', '444', '323', '84', '745', '46', '673', '241', '626', '408', '808', '652', '437', '801', '337', '911', '888', '792', '400', '208', '322', '296', '396', '514', '169', '515', '579', '24', '912']
['62', '817', '6', '321', '284', '614', '722', '887', '402', '377', '364', '85', '834', '410', '563', '422', '786', '694', '754', '908', '979', '263', '566', '388', '968', '989', '915', '627', '966', '716', '448', '122', '165']
['316', '334', '763', '977', '777', '195', '677', '641', '131', '796', '108', '541', '791', '724', '788', '599', '428', '803', '434', '344', '275', '95', '365', '793', '317', '266', '642', '281', '886', '239', '706', '719', '577']
['668', '688', '173', '874', '549', '780', '709', '914', '13', '713', '973', '363', '325', '555', '417', '981', '578', '894', '568', '785', '497', '207', '141', '25', '658', '319', '362', '268', '711', '189', '442', '671', '297']
['797', '49', '217', '850', '233', '145', '272', '307', '739', '900', '618', '595', '676', '863', '738', '494', '179', '858', '119', '790', '847', '253', '97', '405', '258', '749', '153', '23', '903', '844', '952', '795', '552']
['906', '466', '461', '951', '19', '806', '873', '34', '901', '691', '342', '29', '518', '148', '343', '621', '574', '499', '209', '81', '965', '934', '315', '16', '498', '885', '240', '465', '735', '276', '670', '604', '366']
['157', '750', '625', '201', '560', '964', '597', '224', '646', '96', '228', '689', '386', '463', '486', '918', '489', '823', '256', '193', '485', '235', '838', '692', '990', '663', '737', '975', '375', '133', '849', '813', '351']
['852', '545', '324', '349', '445', '877', '879', '293', '231', '468', '855', '848', '236', '75', '152', '502', '531', '267', '279', '441', '675', '700', '542', '662', '495', '40', '684', '223', '458', '438', '7', '759', '192']
['867', '589', '757', '368', '273', '938', '221', '346', '841', '72', '533', '936', '843', '105', '782', '546', '478', '101', '69', '520', '948', '607', '216', '354', '298', '947', '657', '39', '651', '970', '633', '170', '232']
['825', '725', '360', '708', '600', '220', '26', '516', '921', '747', '755', '933', '821', '967', '66', '645', '705', '353', '257', '56', '909', '146', '554', '941', '367', '746', '856', '721', '156', '875', '185', '890', '500']
['27', '38', '332', '452', '536', '707', '71', '102', '184', '512', '394', '895', '469', '198', '352', '350', '624', '606', '899', '741', '507', '128', '86', '860', '482', '854', '197', '106', '539', '2', '399', '436', '418']
['167', '585', '883', '826', '767', '822', '150', '907', '529', '957', '328', '779', '859', '411', '41', '65', '616', '138', '927', '116', '330', '665', '946', '862', '710', '115', '76', '373', '22', '479', '517', '781', '608']
['92', '70', '430', '289', '249', '55', '107', '764', '811', '878', '643', '775', '89', '588', '587', '995', '892', '742', '891', '644', '698', '286', '391', '771', '68', '762', '100', '896', '714', '530', '431', '398', '470']
['809', '496', '523', '329', '926', '836', '519', '648', '379', '726', '766', '387', '246', '613', '259', '443', '357', '949', '602', '820', '638', '347', '807', '636', '130', '196', '571', '64', '171', '35', '144', '876', '327']
['460', '846', '18', '640', '712', '58', '898', '294', '685', '37', '280', '61', '971', '596', '481', '881', '403', '831', '617', '570', '540', '683', '603', '290', '3', '629', '778', '962', '935', '861', '178', '371', '341']
['547', '857', '213', '449', '904', '210', '647', '752', '94', '776', '172', '283', '204', '556', '426', '318', '378', '462', '423', '532', '456', '114', '804', '812', '227', '143', '451', '632', '509', '404', '118', '54', '538']
['427', '774', '5', '190', '945', '525', '521', '535', '473', '567', '650', '723', '453', '63', '175', '137', '559', '252', '992', '78', '194', '623', '601', '902', '487', '704', '893', '477', '575', '50', '135', '550', '733']
