['668', '329', '212', '19', '625', '537', '536', '581', '306', '534', '574', '621', '309', '267', '485', '365', '317', '35', '397', '511', '579', '470', '448', '181']
['120', '233', '284', '218', '254', '646', '512', '425', '352', '559', '246', '10', '81', '540', '199', '408', '16', '598', '240', '669', '44', '144', '45', '604']
['92', '211', '466', '102', '419', '155', '533', '15', '154', '440', '255', '563', '344', '290', '568', '238', '692', '171', '67', '398', '577', '206', '550', '327']
['62', '308', '311', '28', '460', '339', '593', '203', '292', '483', '343', '244', '4', '414', '681', '75', '128', '388', '629', '320', '149', '297', '140', '175']
['557', '213', '71', '230', '377', '1', '323', '407', '186', '242', '486', '488', '384', '562', '591', '546', '412', '566', '33', '208', '682', '627', '319', '594']
['225', '334', '545', '6', '237', '653', '401', '221', '32', '82', '544', '697', '259', '325', '605', '250', '257', '235', '141', '684', '25', '106', '189', '508']
['167', '195', '368', '590', '597', '389', '121', '689', '13', '364', '361', '390', '20', '690', '506', '216', '191', '23', '396', '558', '118', '7', '366', '672']
['274', '527', '359', '249', '226', '245', '519', '318', '46', '619', '36', '315', '652', '69', '548', '304', '282', '278', '657', '509', '670', '374', '431', '552']
['409', '139', '229', '523', '145', '647', '248', '614', '26', '77', '691', '72', '685', '84', '618', '41', '158', '610', '542', '356', '143', '100', '2', '608']
['316', '163', '376', '38', '454', '30', '34', '85', '596', '411', '474', '295', '241', '42', '602', '380', '381', '330', '234', '90', '291', '622', '543', '88']
['547', '439', '21', '678', '654', '215', '476', '402', '595', '37', '526', '645', '428', '415', '288', '601', '514', '656', '609', '649', '24', '436', '170']
['340', '60', '688', '679', '202', '247', '224', '541', '379', '89', '159', '209', '617', '392', '570', '152', '457', '644', '97', '429', '400', '133', '232']
['496', '589', '103', '53', '332', '549', '338', '31', '643', '346', '471', '303', '490', '639', '110', '406', '420', '475', '603', '56', '8', '104', '584']
['73', '217', '160', '300', '382', '587', '333', '624', '572', '455', '551', '555', '337', '47', '310', '472', '260', '11', '239', '635', '375', '243', '500']
['127', '576', '272', '580', '58', '394', '342', '200', '386', '129', '443', '532', '638', '286', '553', '68', '222', '266', '404', '447', '383', '268', '351']
['459', '151', '270', '117', '188', '228', '29', '251', '531', '336', '413', '126', '99', '285', '607', '223', '451', '667', '178', '185', '446', '666', '671']
['9', '173', '600', '307', '134', '416', '57', '432', '294', '136', '655', '132', '507', '564', '675', '520', '698', '391', '40', '196', '258', '298', '651']
['565', '615', '430', '283', '107', '493', '620', '328', '573', '673', '214', '43', '177', '355', '113', '582', '393', '369', '12', '362', '314', '517', '312']
['360', '49', '112', '424', '480', '96', '280', '372', '504', '462', '599', '385', '561', '353', '510', '187', '261', '39', '632', '264', '467', '168', '583']
['637', '664', '157', '491', '452', '324', '501', '522', '556', '184', '109', '422', '464', '513', '686', '683', '275', '665', '495', '663', '50', '628', '192']
['91', '461', '421', '271', '492', '131', '499', '660', '147', '93', '696', '524', '612', '477', '695', '571', '367', '281', '505', '79', '164', '442', '371']
['427', '331', '190', '289', '529', '641', '204', '426', '265', '166', '137', '378', '61', '586', '423', '626', '623', '498', '437', '305', '399', '630', '122']
['585', '201', '521', '349', '395', '87', '445', '640', '262', '468', '648', '588', '403', '631', '219', '51', '116', '441', '101', '405', '693', '76', '169']
['18', '560', '172', '699', '370', '469', '518', '98', '494', '606', '111', '694', '345', '674', '3', '636', '659', '276', '197', '530', '458', '611', '277']
['449', '525', '80', '17', '444', '410', '174', '105', '256', '162', '48', '487', '662', '497', '528', '207', '227', '373', '642', '634', '125', '115', '418']
['27', '142', '473', '220', '650', '231', '484', '313', '676', '481', '358', '66', '434', '357', '0', '578', '263', '575', '180', '539', '74', '661', '326']
['569', '503', '210', '321', '335', '293', '198', '65', '123', '502', '363', '279', '78', '253', '482', '450', '130', '354', '465', '554', '156', '479', '161']
['205', '5', '287', '301', '108', '182', '183', '387', '236', '616', '252', '687', '613', '138', '348', '95', '124', '269', '64', '22', '54', '538', '165']
['59', '70', '83', '14', '150', '94', '677', '52', '516', '63', '463', '680', '592', '119', '478', '114', '153', '658', '296', '633', '515', '341', '299']
['176', '535', '273', '55', '567', '453', '435', '148', '433', '350', '179', '456', '489', '302', '417', '194', '193', '347', '86', '146', '322', '135', '438']
