['a180', 'a278', 'a207', 'a236', 'a116', 'a49', 'a310', 'a14', 'a284', 'a186', 'a102', 'a336']
['a1', 'a423', 'a222', 'a189', 'a361', 'a339', 'a227', 'a355', 'a230', 'a138', 'a66', 'a456']
['a154', 'a255', 'a240', 'a434', 'a387', 'a421', 'a321', 'a172', 'a290', 'a209', 'a328', 'a318']
['a4', 'a89', 'a354', 'a293', 'a388', 'a126', 'a257', 'a196', 'a394', 'a175', 'a454', 'a128']
['a296', 'a22', 'a197', 'a463', 'a166', 'a342', 'a334', 'a404', 'a231', 'a292', 'a403', 'a210']
['a380', 'a322', 'a325', 'a436', 'a291', 'a131', 'a422', 'a24', 'a317', 'a133', 'a107', 'a112']
['a164', 'a340', 'a391', 'a329', 'a302', 'a224', 'a165', 'a27', 'a272', 'a315', 'a206', 'a137']
['a338', 'a399', 'a326', 'a97', 'a78', 'a437', 'a42', 'a420', 'a127', 'a31', 'a144', 'a130']
['a271', 'a409', 'a363', 'a106', 'a176', 'a275', 'a265', 'a314', 'a480', 'a419', 'a147', 'a157']
['a398', 'a67', 'a81', 'a461', 'a162', 'a141', 'a72', 'a118', 'a323', 'a262', 'a309', 'a427']
['a2', 'a82', 'a98', 'a308', 'a268', 'a56', 'a392', 'a249', 'a335', 'a124', 'a156', 'a142']
['a69', 'a348', 'a405', 'a101', 'a444', 'a158', 'a333', 'a477', 'a9', 'a62', 'a80', 'a345']
['a457', 'a439', 'a269', 'a449', 'a203', 'a476', 'a173', 'a254', 'a390', 'a270', 'a331', 'a287']
['a453', 'a123', 'a288', 'a306', 'a94', 'a40', 'a152', 'a358', 'a88', 'a452', 'a246', 'a44']
['a330', 'a282', 'a134', 'a53', 'a113', 'a77', 'a448', 'a226', 'a371', 'a19', 'a253', 'a289']
['a280', 'a204', 'a350', 'a153', 'a6', 'a86', 'a239', 'a195', 'a364', 'a215', 'a46', 'a121']
['a192', 'a18', 'a181', 'a129', 'a65', 'a91', 'a161', 'a52', 'a75', 'a424', 'a428', 'a125']
['a100', 'a122', 'a347', 'a193', 'a54', 'a139', 'a45', 'a277', 'a41', 'a29', 'a48', 'a357']
['a184', 'a5', 'a73', 'a465', 'a301', 'a47', 'a377', 'a60', 'a341', 'a443', 'a383', 'a159']
['a110', 'a90', 'a297', 'a327', 'a414', 'a202', 'a216', 'a171', 'a464', 'a109', 'a55', 'a431']
['a241', 'a120', 'a346', 'a261', 'a10', 'a194', 'a426', 'a416', 'a433', 'a368', 'a343', 'a251']
['a450', 'a418', 'a258', 'a233', 'a332', 'a252', 'a20', 'a402', 'a442', 'a59', 'a132', 'a200']
['a163', 'a407', 'a344', 'a160', 'a430', 'a244', 'a26', 'a413', 'a374', 'a381', 'a319', 'a372']
['a384', 'a352', 'a39', 'a365', 'a435', 'a474', 'a438', 'a312', 'a250', 'a247', 'a294', 'a425']
['a185', 'a320', 'a234', 'a458', 'a84', 'a190', 'a155', 'a117', 'a221', 'a445', 'a367', 'a23']
['a397', 'a219', 'a245', 'a217', 'a285', 'a401', 'a93', 'a300', 'a248', 'a415', 'a103', 'a366']
['a475', 'a220', 'a51', 'a108', 'a169', 'a95', 'a375', 'a64', 'a229', 'a349', 'a359', 'a25']
['a393', 'a43', 'a61', 'a395', 'a373', 'a140', 'a299', 'a208', 'a281', 'a432', 'a472', 'a16']
['a34', 'a235', 'a386', 'a353', 'a313', 'a466', 'a410', 'a362', 'a408', 'a411', 'a316', 'a406']
['a105', 'a441', 'a188', 'a417', 'a15', 'a389', 'a212', 'a379', 'a259', 'a238', 'a85', 'a170']
['a92', 'a369', 'a370', 'a473', 'a178', 'a304', 'a376', 'a150', 'a11', 'a74', 'a385', 'a50']
['a462', 'a211', 'a303', 'a412', 'a471', 'a146', 'a228', 'a174', 'a143', 'a36', 'a149', 'a201']
['a225', 'a63', 'a99', 'a37', 'a58', 'a168', 'a151', 'a104', 'a311', 'a115', 'a273', 'a83']
['a237', 'a232', 'a57', 'a337', 'a446', 'a351', 'a79', 'a182', 'a96', 'a459', 'a33', 'a455']
['a167', 'a135', 'a267', 'a3', 'a286', 'a396', 'a324', 'a214', 'a264', 'a295', 'a111', 'a136']
['a32', 'a479', 'a447', 'a276', 'a283', 'a199', 'a263', 'a119', 'a179', 'a470', 'a360', 'a242']
['a187', 'a478', 'a256', 'a243', 'a28', 'a429', 'a467', 'a213', 'a198', 'a148', 'a87', 'a76']
['a205', 'a305', 'a114', 'a356', 'a298', 'a68', 'a260', 'a71', 'a30', 'a70', 'a274', 'a378']
['a468', 'a469', 'a460', 'a223', 'a266', 'a177', 'a145', 'a191', 'a218', 'a307', 'a21', 'a400']
['a38', 'a17', 'a12', 'a13', 'a7', 'a183', 'a451', 'a8', 'a35', 'a279', 'a440', 'a382']
