['274', '352']
['74', '77']
['334', '42']
['2', '86']
['394', '384']
['238', '4']
['284', '166']
['134', '344']
['44', '366']
['383', '233']
['81', '381']
['19', '348']
['308', '215']
['398', '194']
['29', '20']
['305', '311']
['210', '21']
['83', '155']
['149', '78']
['41', '72']
['382', '331']
['343', '140']
['330', '128']
['393', '327']
['365', '245']
['235', '206']
['15', '161']
['110', '103']
['89', '229']
['33', '8']
['320', '373']
['341', '30']
['377', '333']
['324', '173']
['306', '304']
['133', '254']
['208', '353']
['205', '242']
['319', '195']
['188', '297']
['120', '35']
['25', '113']
['121', '39']
['244', '26']
['292', '390']
['367', '317']
['339', '338']
['152', '336']
['290', '186']
['257', '279']
['230', '271']
['246', '75']
['214', '34']
['182', '91']
['202', '158']
['199', '126']
['116', '6']
['23', '87']
['216', '17']
['11', '267']
['127', '392']
['328', '388']
['376', '58']
['335', '309']
['389', '303']
['300', '32']
['197', '293']
['167', '281']
['258', '288']
['256', '92']
['106', '241']
['13', '209']
['212', '189']
['329', '174']
['156', '157']
['12', '139']
['270', '107']
['16', '95']
['73', '248']
['59', '62']
['7', '132']
['399', '371']
['260', '361']
['347', '38']
['203', '342']
['71', '265']
['163', '239']
['362', '236']
['396', '224']
['181', '369']
['337', '153']
['150', '43']
['255', '138']
['131', '340']
['218', '124']
['145', '97']
['85', '70']
['10', '65']
['37', '250']
['36', '192']
['27', '259']
['67', '9']
['395', '88']
['316', '380']
['374', '171']
['211', '345']
['321', '237']
['310', '164']
['225', '302']
['247', '291']
['28', '289']
['268', '278']
['223', '262']
['349', '252']
['204', '251']
['200', '379']
['295', '179']
['217', '176']
['80', '375']
['318', '79']
['249', '76']
['159', '64']
['60', '253']
['177', '50']
['48', '312']
['18', '53']
['56', '5']
['391', '280']
['378', '151']
['282', '322']
['313', '243']
['275', '315']
['180', '368']
['160', '266']
['129', '148']
['147', '100']
['125', '213']
['112', '24']
['111', '104']
['221', '90']
['61', '261']
['69', '47']
['325', '40']
['117', '31']
['3', '386']
['387', '385']
['358', '350']
['294', '49']
['301', '285']
['263', '1']
['332', '231']
['222', '185']
['286', '201']
['175', '326']
['168', '46']
['123', '287']
['118', '170']
['115', '234']
['372', '68']
['397', '63']
['22', '51']
['109', '14']
['82', '370']
['360', '364']
['307', '346']
['299', '137']
['296', '269']
['272', '54']
['351', '240']
['226', '183']
['101', '165']
['136', '142']
['122', '96']
['114', '356']
['232', '102']
['52', '98']
['314', '84']
['57', '184']
['357', '105']
['219', '264']
['227', '355']
['207', '146']
['298', '191']
['196', '178']
['283', '169']
['144', '0']
['135', '143']
['108', '99']
['154', '93']
['172', '55']
['141', '363']
['66', '323']
['273', '277']
['45', '276']
['228', '193']
['359', '94']
['190', '187']
['354', '119']
['198', '162']
['130', '220']
