['472', '471', '470']
['474', '469', '473']
['459', '460', '457']
['466', '458', '465']
['448', '455', '456']
['452', '447', '451']
['446', '454', '453']
['445', '450', '449']
['444', '443', '436']
['440', '435', '439']
['442', '441', '434']
['433', '437', '438']
['431', '432', '424']
['427', '423', '428']
['422', '430', '429']
['421', '425', '426']
['419', '420', '412']
['409', '410', '411']
['407', '400', '408']
['397', '399', '398']
['395', '396', '388']
['387', '385', '386']
['383', '384', '376']
['375', '380', '379']
['382', '374', '381']
['377', '378', '373']
['361', '362', '364']
['367', '368', '363']
['351', '349', '352']
['358', '357', '350']
['339', '337', '340']
['338', '345', '346']
['328', '325', '327']
['334', '333', '326']
['316', '315', '313']
['321', '314', '322']
['312', '304', '311']
['307', '308', '303']
['309', '310', '302']
['305', '306', '301']
['292', '300', '299']
['295', '296', '291']
['290', '298', '297']
['293', '289', '294']
['288', '280', '287']
['283', '284', '279']
['286', '285', '278']
['281', '282', '277']
['267', '268', '266']
['269', '270', '265']
['256', '255', '253']
['262', '254', '261']
['244', '242', '243']
['246', '245', '241']
['232', '230', '229']
['235', '231', '236']
['220', '218', '217']
['219', '223', '224']
['205', '206', '208']
['207', '212', '211']
['204', '196', '203']
['199', '200', '195']
['202', '201', '194']
['198', '193', '197']
['191', '184', '192']
['188', '187', '183']
['190', '182', '189']
['186', '181', '185']
['172', '170', '171']
['169', '173', '174']
['160', '159', '158']
['162', '161', '157']
['155', '156', '148']
['152', '147', '151']
['146', '145', '149']
['136', '133', '134']
['135', '139', '140']
['121', '122', '124']
['123', '127', '128']
['112', '109', '110']
['116', '111', '115']
['98', '97', '100']
['99', '104', '103']
['87', '85', '88']
['86', '94', '93']
['75', '73', '76']
['74', '81', '82']
['71', '72', '64']
['62', '63', '61']
['51', '52', '49']
['57', '50', '58']
['38', '37', '40']
['44', '43', '39']
['28', '25', '26']
['31', '27', '32']
['15', '13', '16']
['22', '21', '14']
['2', '1', '4']
['7', '3', '8']
['478', '477', '463']
['404', '403', '417']
['416', '415', '331']
['392', '391', '405']
['394', '274', '393']
['370', '355', '369']
['343', '233', '344']
['320', '319', '19']
['273', '260', '259']
['272', '271', '389']
['77', '250', '249']
['247', '413', '248']
['365', '238', '237']
['225', '226', '366']
['29', '214', '213']
['163', '177', '164']
['257', '175', '176']
['166', '317', '165']
['167', '154', '153']
['141', '142', '329']
['130', '129', '215']
['117', '118', '41']
['92', '105', '91']
['80', '79', '414']
['69', '55', '70']
['216', '67', '68']
['45', '35', '46']
['33', '30', '34']
['479', '330', '480']
['476', '475', '234']
['23', '467', '468']
['6', '5', '464']
['401', '461', '462']
['335', '336', '418']
['406', '132', '131']
['402', '240', '239']
['10', '390', '9']
['371', '65', '372']
['359', '360', '353']
['180', '356', '179']
['11', '354', '12']
['347', '348', '106']
['341', '221', '342']
['89', '332', '90']
['222', '324', '323']
['53', '54', '318']
['251', '275', '276']
['263', '264', '126']
['258', '42', '24']
['108', '252', '107']
['228', '227', '96']
['36', '210', '209']
['48', '178', '47']
['168', '20', '95']
['150', '18', '17']
['138', '144', '143']
['114', '137', '113']
['125', '83', '84']
['56', '120', '119']
['101', '59', '102']
['60', '66', '78']
