['245', '413', '419', '70', '225', '233', '57', '29', '148', '136', '8', '337', '7', '30']
['167', '331', '274', '103', '77', '334', '109', '173', '19', '288', '287', '412', '246', '4']
['130', '27', '384', '308', '127', '217', '228', '21', '344', '417', '116', '234', '365', '338']
['81', '309', '73', '311', '83', '72', '329', '374', '40', '203', '300', '238', '389', '327']
['320', '306', '409', '328', '171', '267', '23', '265', '147', '15', '381', '159', '395', '236']
['75', '269', '96', '100', '182', '132', '2', '37', '169', '128', '41', '66', '230', '110']
['87', '316', '226', '44', '28', '13', '35', '362', '398', '242', '97', '388', '129', '284']
['292', '336', '121', '25', '346', '149', '135', '210', '257', '318', '24', '371', '370', '312']
['216', '64', '390', '191', '36', '155', '212', '166', '133', '387', '304', '249', '282', '393']
['197', '254', '91', '126', '396', '145', '160', '324', '352', '85', '206', '119', '260', '192']
['368', '213', '199', '32', '125', '339', '54', '94', '297', '411', '261', '218', '215', '392']
['92', '62', '376', '259', '188', '158', '377', '6', '237', '248', '51', '88', '255', '71']
['202', '163', '335', '340', '14', '82', '313', '168', '348', '98', '140', '95', '366', '240']
['152', '26', '34', '416', '200', '408', '18', '319', '270', '165', '48', '170', '123', '414']
['293', '102', '229', '39', '76', '357', '20', '364', '379', '355', '189', '45', '65', '317']
['276', '241', '386', '239', '343', '194', '407', '383', '162', '243', '69', '305', '321', '291']
['295', '117', '258', '307', '105', '180', '1', '401', '250', '186', '314', '172', '391', '68']
['360', '298', '402', '16', '38', '53', '118', '397', '253', '151', '201', '349', '10', '175']
['247', '301', '120', '139', '184', '342', '156', '106', '353', '382', '244', '89', '195', '174']
['223', '214', '138', '224', '67', '281', '50', '315', '375', '154', '333', '80', '286', '3']
['354', '58', '385', '134', '369', '266', '11', '42', '112', '405', '310', '290', '111', '90']
['204', '207', '415', '164', '150', '185', '101', '256', '198', '46', '372', '350', '181', '43']
['31', '196', '146', '272', '143', '211', '153', '279', '303', '330', '273', '86', '356', '124']
['222', '33', '141', '179', '142', '345', '404', '268', '378', '61', '251', '410', '351', '403']
['221', '177', '341', '205', '12', '361', '190', '187', '104', '275', '363', '283', '418', '326']
['9', '322', '264', '108', '219', '137', '380', '56', '332', '280', '289', '209', '358', '277']
['52', '131', '367', '302', '63', '78', '74', '114', '47', '263', '235', '285', '252', '107']
['220', '400', '227', '59', '325', '157', '294', '0', '22', '399', '271', '347', '359', '278']
['299', '231', '373', '394', '176', '60', '99', '323', '93', '161', '232', '115', '122', '55']
['262', '17', '208', '49', '296', '406', '178', '183', '79', '84', '193', '144', '5', '113']
