['331', '274', '308', '233', '19', '203', '284', '389', '419', '77', '155', '432', '198', '352', '85', '440', '4', '413', '128', '365', '393', '320', '25', '44']
['409', '334', '215', '121', '245', '72', '29', '15', '186', '110', '309', '384', '357', '158', '257', '97', '317', '396', '149', '2', '431', '133', '206', '366']
['167', '316', '92', '62', '430', '30', '242', '411', '41', '81', '152', '267', '199', '344', '194', '381', '288', '8', '238', '216', '398', '297', '140', '327']
['439', '127', '311', '229', '225', '173', '21', '339', '368', '134', '26', '102', '425', '377', '244', '46', '75', '259', '408', '290', '429', '197', '35', '319']
['163', '376', '145', '329', '38', '270', '218', '71', '292', '58', '129', '414', '428', '434', '132', '315', '420', '250', '234', '369', '189', '88', '7']
['91', '211', '248', '230', '306', '328', '34', '386', '407', '65', '415', '353', '16', '275', '260', '291', '171', '180', '67', '106', '362', '436', '192']
['103', '212', '324', '424', '349', '273', '300', '202', '31', '109', '364', '379', '343', '32', '255', '43', '279', '69', '412', '23', '156', '239', '268']
['28', '6', '237', '401', '53', '195', '272', '321', '87', '346', '136', '37', '318', '392', '295', '330', '282', '68', '223', '266', '374', '170', '243']
['340', '205', '271', '107', '221', '247', '188', '13', '402', '1', '303', '89', '159', '390', '126', '147', '355', '47', '278', '33', '24', '371', '181']
['360', '421', '395', '249', '117', '226', '200', '382', '82', '10', '403', '336', '177', '105', '325', '104', '304', '258', '208', '39', '281', '164', '351']
['73', '139', '160', '112', '262', '96', '394', '416', '294', '154', '313', '280', '372', '251', '214', '42', '337', '48', '207', '196', '404', '12', '375']
['27', '49', '338', '204', '426', '108', '57', '174', '385', '138', '36', '253', '261', '95', '310', '285', '222', '373', '11', '79', '397', '168', '312']
['59', '70', '157', '5', '335', '224', '131', '254', '361', '422', '406', '20', '348', '113', '286', '391', '124', '298', '100', '191', '264', '54', '232']
['142', '217', '83', '150', '18', '332', '287', '370', '301', '52', '265', '183', '61', '111', '179', '417', '256', '347', '3', '90', '383', '169', '122']
['213', '14', '151', '172', '283', '307', '435', '98', '333', '387', '123', '236', '0', '116', '56', '405', '141', '269', '178', '74', '185', '356', '326']
['9', '176', '210', '289', '359', '184', '166', '323', '148', '66', '345', '99', '302', '51', '114', '235', '388', '367', '135', '125', '314', '399', '438']
['427', '120', '60', '17', '228', '342', '137', '378', '209', '358', '246', '363', '78', '93', '193', '437', '305', '40', '146', '322', '50', '161', '277']
['341', '80', '433', '410', '423', '252', '119', '219', '380', '101', '187', '162', '263', '240', '130', '354', '276', '64', '144', '45', '115', '299', '175']
['190', '201', '94', '55', '220', '293', '231', '182', '63', '84', '350', '241', '86', '400', '227', '143', '153', '76', '296', '22', '118', '418', '165']
