['MadameShadowTheMightyVampireEater', 'MasterTrinityTheHeroicDragonMaker', 'LordBeetleTheMightyMonsterMaker', 'LordJellyTheBraveDragonEater', 'DuchessSushiTheTrueMonsterFinder', 'MadameJellyTheGreatVampireFinder', 'MadameJellyTheBraveDragonHunter', 'DuchessShadowTheMightyVampireFinder', 'LordTrinityTheMightyDragonEater', 'SirJellyTheTrueVampireSniffer', 'QueenFluffyTheTrueZombieHunter', 'SirBarneyTheMightyRobotSniffer', 'SirShadowTheMightyMonsterSniffer', 'DuchessBeetleTheTrueZombieEater', 'DuchessTrinityTheGreatMonsterFinder', 'SirJellyTheBraveZombieFinder', 'MadameBarneyTheTrueMonsterFinder', 'MasterBeetleTheMightyVampireMaker', 'DukeBeetleTheHeroicMonsterFinder', 'DukeJellyTheHeroicRobotHunter']
['LordBeetleTheGreatZombieSniffer', 'QueenBarneyTheBraveVampireHunter', 'QueenShadowTheHeroicMonsterSniffer', 'LordSushiTheTrueMonsterEater', 'LordTrinityTheHeroicVampireEater', 'MadameShadowTheBraveRobotEater', 'MadameSushiTheGreatVampireSniffer', 'SirTrinityTheGreatRobotFinder', 'DuchessShadowTheBraveZombieHunter', 'MadameShadowTheHeroicMonsterEater', 'DukeFluffyTheMightyZombieFinder', 'MasterShadowTheGreatRobotSniffer', 'DuchessFluffyTheBraveDragonHunter', 'DuchessShadowTheMightyVampireHunter', 'LordSushiTheGreatDragonSniffer', 'MasterBarneyTheHeroicZombieMaker', 'SirSushiTheGreatRobotEater', 'MadameBeetleTheTrueZombieMaker', 'SirShadowTheMightyZombieEater', 'DukeBeetleTheTrueMonsterEater']
['LordJellyTheMightyMonsterFinder', 'SirSushiTheBraveZombieEater', 'QueenFluffyTheBraveRobotHunter', 'LordJellyTheBraveZombieEater', 'DukeJellyTheGreatDragonFinder', 'LordBeetleTheBraveDragonFinder', 'DuchessBarneyTheBraveZombieHunter', 'LordSushiTheHeroicDragonMaker', 'LordBarneyTheBraveVampireHunter', 'QueenBarneyTheMightyZombieEater', 'QueenShadowTheBraveRobotFinder', 'SirShadowTheHeroicVampireEater', 'LordJellyTheGreatVampireSniffer', 'LordBeetleTheMightyZombieSniffer', 'LordBarneyTheMightyDragonEater', 'QueenBeetleTheGreatDragonSniffer', 'QueenBeetleTheBraveMonsterMaker', 'SirShadowTheHeroicRobotMaker', 'LordFluffyTheTrueMonsterSniffer', 'MasterShadowTheBraveDragonFinder']
['DuchessShadowTheHeroicDragonHunter', 'QueenJellyTheGreatZombieMaker', 'DuchessSushiTheGreatRobotSniffer', 'MadameJellyTheGreatMonsterEater', 'MasterShadowTheHeroicMonsterSniffer', 'MadameBarneyTheMightyRobotHunter', 'SirBeetleTheBraveRobotHunter', 'LordFluffyTheTrueMonsterMaker', 'DukeJellyTheMightyRobotSniffer', 'SirTrinityTheTrueDragonEater', 'QueenBeetleTheBraveVampireMaker', 'DukeShadowTheMightyVampireEater', 'SirFluffyTheTrueRobotEater', 'DuchessShadowTheBraveDragonSniffer', 'DuchessFluffyTheTrueVampireFinder', 'MadameShadowTheBraveVampireFinder', 'MadameFluffyTheHeroicDragonMaker', 'DuchessBeetleTheHeroicZombieEater', 'MasterBeetleTheTrueVampireMaker', 'DuchessBarneyTheMightyVampireFinder']
['DukeShadowTheGreatDragonEater', 'SirShadowTheGreatRobotMaker', 'MasterBarneyTheBraveVampireFinder', 'MasterSushiTheMightyVampireHunter', 'DuchessTrinityTheTrueMonsterHunter', 'MadameTrinityTheGreatDragonSniffer', 'QueenJellyTheHeroicZombieEater', 'QueenFluffyTheBraveDragonFinder', 'QueenSushiTheTrueZombieEater', 'QueenJellyTheMightyMonsterMaker', 'SirShadowTheGreatDragonHunter', 'LordSushiTheGreatMonsterSniffer', 'MasterJellyTheMightyRobotEater', 'MasterBeetleTheGreatRobotSniffer', 'DuchessJellyTheHeroicDragonSniffer', 'DukeBarneyTheMightyRobotSniffer', 'QueenTrinityTheBraveVampireEater', 'LordFluffyTheMightyVampireFinder', 'DukeJellyTheGreatMonsterSniffer', 'MasterShadowTheTrueDragonSniffer']
['QueenShadowTheHeroicZombieFinder', 'MasterTrinityTheHeroicRobotFinder', 'MasterJellyTheMightyMonsterHunter', 'LordShadowTheHeroicDragonHunter', 'QueenShadowTheMightyMonsterMaker', 'QueenFluffyTheMightyRobotEater', 'DuchessJellyTheHeroicMonsterMaker', 'QueenTrinityTheHeroicDragonFinder', 'SirJellyTheGreatDragonFinder', 'DuchessSushiTheBraveMonsterHunter', 'DukeSushiTheTrueDragonHunter', 'MasterShadowTheMightyMonsterFinder', 'LordSushiTheGreatRobotHunter', 'MasterTrinityTheBraveMonsterMaker', 'QueenBarneyTheTrueRobotFinder', 'QueenTrinityTheBraveZombieHunter', 'MadameJellyTheTrueRobotEater', 'MadameSushiTheHeroicDragonEater', 'MasterBarneyTheTrueZombieEater', 'MasterBarneyTheTrueVampireSniffer']
['SirSushiTheTrueRobotFinder', 'MasterFluffyTheMightyDragonMaker', 'MasterJellyTheGreatDragonHunter', 'DuchessJellyTheHeroicMonsterHunter', 'SirShadowTheMightyDragonHunter', 'MadameSushiTheTrueRobotEater', 'MadameSushiTheBraveVampireSniffer', 'DuchessBarneyTheMightyVampireSniffer', 'QueenTrinityTheTrueRobotMaker', 'SirBarneyTheGreatMonsterHunter', 'DuchessSushiTheHeroicRobotHunter', 'LordTrinityTheHeroicMonsterSniffer', 'DuchessJellyTheGreatMonsterSniffer', 'LordSushiTheGreatDragonEater', 'DukeBarneyTheHeroicZombieEater', 'SirBarneyTheGreatZombieEater', 'DukeSushiTheTrueMonsterEater', 'DukeBarneyTheTrueZombieEater', 'DukeFluffyTheHeroicVampireFinder', 'MasterBeetleTheBraveDragonSniffer']
['DukeSushiTheGreatZombieFinder', 'LordBeetleTheHeroicMonsterMaker', 'LordBeetleTheGreatRobotSniffer', 'DukeSushiTheHeroicZombieHunter', 'QueenTrinityTheMightyZombieHunter', 'DuchessTrinityTheGreatZombieFinder', 'DukeBeetleTheGreatDragonHunter', 'DuchessShadowTheMightyMonsterSniffer', 'SirTrinityTheGreatDragonFinder', 'SirTrinityTheHeroicRobotSniffer', 'SirShadowTheTrueVampireFinder', 'DuchessTrinityTheTrueZombieEater', 'QueenTrinityTheBraveVampireSniffer', 'SirBarneyTheBraveVampireMaker', 'LordFluffyTheMightyVampireMaker', 'DukeBarneyTheTrueVampireEater', 'LordBeetleTheHeroicZombieFinder', 'LordBeetleTheHeroicMonsterSniffer', 'MadameFluffyTheTrueMonsterEater', 'MasterTrinityTheHeroicDragonHunter']
['LordBarneyTheMightyRobotFinder', 'MasterSushiTheBraveDragonFinder', 'QueenFluffyTheBraveRobotFinder', 'QueenJellyTheTrueMonsterMaker', 'SirFluffyTheBraveMonsterMaker', 'LordBeetleTheBraveDragonHunter', 'SirSushiTheTrueRobotEater', 'QueenFluffyTheBraveVampireHunter', 'DukeSushiTheBraveDragonFinder', 'MasterSushiTheMightyMonsterEater', 'MasterJellyTheMightyDragonFinder', 'LordFluffyTheBraveZombieFinder', 'QueenFluffyTheMightyVampireEater', 'MadameSushiTheMightyZombieHunter', 'MadameSushiTheHeroicZombieFinder', 'DukeFluffyTheGreatRobotEater', 'LordTrinityTheGreatMonsterEater', 'MadameTrinityTheGreatMonsterMaker', 'SirFluffyTheBraveMonsterSniffer', 'SirFluffyTheTrueVampireSniffer']
['MasterBeetleTheHeroicZombieMaker', 'MasterTrinityTheMightyVampireEater', 'LordTrinityTheBraveVampireMaker', 'DuchessBarneyTheGreatDragonHunter', 'SirJellyTheHeroicMonsterMaker', 'QueenTrinityTheBraveRobotFinder', 'MadameFluffyTheBraveRobotFinder', 'SirSushiTheMightyDragonEater', 'MadameShadowTheGreatZombieSniffer', 'DukeShadowTheMightyMonsterMaker', 'DuchessBeetleTheTrueZombieFinder', 'DuchessSushiTheHeroicDragonFinder', 'MadameShadowTheMightyDragonEater', 'MasterBeetleTheTrueZombieSniffer', 'SirShadowTheBraveZombieMaker', 'LordBarneyTheHeroicVampireHunter', 'MadameBeetleTheTrueVampireEater', 'LordFluffyTheHeroicMonsterHunter', 'DuchessShadowTheTrueZombieHunter', 'MadameTrinityTheHeroicZombieFinder']
['QueenBarneyTheGreatRobotEater', 'DukeTrinityTheHeroicRobotMaker', 'MadameSushiTheMightyMonsterEater', 'DuchessBeetleTheBraveDragonEater', 'DuchessBarneyTheGreatDragonMaker', 'SirBarneyTheBraveRobotHunter', 'SirShadowTheGreatRobotSniffer', 'SirShadowTheBraveMonsterMaker', 'QueenSushiTheHeroicVampireFinder', 'MasterJellyTheGreatZombieHunter', 'MasterJellyTheBraveDragonHunter', 'MasterBeetleTheTrueVampireHunter', 'QueenTrinityTheGreatVampireEater', 'SirTrinityTheBraveZombieMaker', 'QueenTrinityTheMightyVampireMaker', 'MadameJellyTheBraveDragonEater', 'SirJellyTheGreatVampireHunter', 'QueenBeetleTheGreatMonsterEater', 'SirFluffyTheBraveZombieFinder', 'MadameShadowTheBraveZombieHunter']
