['JodieMeeks', 'PaulZipser']
['IanMahinmi', 'CarisLeVert']
['MikeMuscala', 'MikeScott']
['JohnWall', 'AndreDrummond']
['TomasSatoransky', 'DAngeloRussell']
['RondaeHollisJefferson', 'MarkieffMorris']
['MarcinGortat', 'JarellMartin']
['KellyOubre', 'FrankKaminsky']
['EmmanuelMudiay', 'OttoPorter']
['BradleyBeal', 'JaMychalGreen']
['WesleyMatthews', 'EkpeUdoh']
['DomantasSabonis', 'AlecBurks']
['SindariusThornwell', 'RodneyHood']
['JonasJerebko', 'AndrewHarrison']
['AndreIguodala', 'RoyceONeale']
['DennisSchroder', 'RudyGobert']
['DerrickFavors', 'SalahMejri']
['RickyRubio', 'MarcusMorris']
['JoeIngles', 'DavidNwaba']
['PJTucker', 'DonovanMitchell']
['AlHorford', 'CJMiles']
['DelonWright', 'MarvinWilliams']
['ClintCapela', 'OGAnunoby']
['FredVanVleet', 'JordanClarkson']
['JakobPoeltl', 'CoreyBrewer']
['PascalSiakam', 'MarioChalmers']
['JonasValanciunas', 'MylesTurner']
['SergeIbaka', 'BenMcLemore']
['KyleLowry', 'DenzelValentine']
['YogiFerrell', 'DeMarDeRozan']
['KrisDunn', 'DavisBertans']
['LanceStephenson', 'RudyGay']
['ReggieBullock', 'ManuGinobili']
['BrynForbes', 'DirkNowitzki']
['DejounteMurray', 'AronBaynes']
['DannyGreen', 'WillBarton']
['DennisSmith', 'PauGasol']
['KyleAnderson', 'MilosTeodosic']
['PattyMills', 'IsaiahTaylor']
['StanleyJohnson', 'LaMarcusAldridge']
['GeorgeHill', 'TaureanWallerPrince']
['MasonPlumlee', 'SkalLabissiere']
['KostaKoufos', 'DavidWest']
['JustinJackson', 'LangstonGalloway']
['ZachRandolph', 'LauriMarkkanen']
['GarrettTemple', 'JaylenBrown']
['RobinLopez', 'BuddyHield']
['JoeYoung', 'DeAaronFox']
['BlakeGriffin', 'WillieCauleyStein']
['KyrieIrving', 'BogdanBogdanovic']
['ZachCollins', 'DwightHoward']
['JoshHart', 'MauriceHarkless']
['EdDavis', 'TorreyCraig']
['EricGordon', 'PatConnaughton']
['NeneHilario', 'ShabazzNapier']
['EvanTurner', 'MontrezlHarrell']
['MarcoBelinelli', 'AlFarouqAminu']
['JusufNurkic', 'JamesEnnis']
['DamianLillard', 'DeAndreJordan']
['ShaunLivingston', 'CJMcCollum']
['JaredDudley', 'ZazaPachulia']
['TysonChandler', 'TerryRozier']
['DwyaneWade', 'AlexLen']
['JoseCalderon', 'MarqueseChriss']
['BrandonIngram', 'TroyDaniels']
['JerianGrant', 'TylerUlis']
['DwightPowell', 'DevinBooker']
['NikolaJokic', 'JoshJackson']
['DraganBender', 'TyrekeEvans']
['TJWarren', 'WilsonChandler']
['SpencerDinwiddie', 'RichaunHolmes']
['TimotheLuwawuCabarrot', 'LouWilliams']
['JerrydBayless', 'DarrenCollison']
['LukeKennard', 'AmirJohnson']
['PaulMillsap', 'TJMcConnell']
['AlJefferson', 'JoelEmbiid']
['CoryJoseph', 'JJRedick']
['DarioSaric', 'TrevorAriza']
['TreveonGraham', 'RobertCovington']
['JamalMurray', 'BenSimmons']
['WesleyIwundu', 'TristanThompson']
['JustinHoliday', 'ElfridPayton']
['BrookLopez', 'ShelvinMack']
['DeyontaDavis', 'BismackBiyombo']
['DewayneDedmon', 'MarioHezonja']
['NickYoung', 'NikolaVucevic']
['KentaviousCaldwellPope', 'DJAugustin']
['LucMbahaMoute', 'EvanFournier']
['AaronGordon', 'GeraldGreen']
['JonathonSimmons', 'CristianoFelicio']
['JoshHuestis', 'ErsanIlyasova']
['AndreRoberson', 'AustinRivers']
['AlexAbrines', 'KentBazemore']
['NicolasBatum', 'PatrickPatterson']
['RaymondFelton', 'JeremyLamb']
['JeramiGrant', 'KevinLove']
['StevenAdams', 'DevinHarris']
['MaxiKleber', 'CarmeloAnthony']
['QuincyAcy', 'PaulGeorge']
['JJBarea', 'RussellWestbrook']
['KevinDurant', 'DougMcDermott']
['LanceThomas', 'JarrettAllen']
['SemiOjeleye', 'KyleOQuinn']
['CediOsman', 'JarrettJack']
['DraymondGreen', 'KristapsPorzingis']
['TylerZeller', 'MichaelBeasley']
['FrankNtilikina', 'BobbyPortis']
['DeMarreCarroll', 'EnesKanter']
['AveryBradley', 'TimHardaway']
['LonzoBall', 'CourtneyLee']
['NikolaMirotic', 'BojanBogdanovic']
['JameerNelson', 'MalcolmDelaney']
['DanteCunningham', 'JoeHarris']
['IanClark', 'RyanAnderson']
['RajonRondo', 'WesleyJohnson']
['DeMarcusCousins', 'MichaelKiddGilchrist']
['DariusMiller', 'JamesHarden']
['ETwaunMoore', 'PatrickMcCaw']
['MarcusSmart', 'AnthonyDavis']
['JaeCrowder', 'JrueHoliday']
['AllenCrabbe', 'ShabazzMuhammad']
['AnthonyTolliver', 'GorguiDieng']
['NemanjaBjelica', 'KyleKuzma']
['TyusJones', 'VictorOladipo']
['JamalCrawford', 'KlayThompson']
['MarcGasol', 'JimmyButler']
['LeBronJames', 'JeffTeague']
['TajGibson', 'TreyLyles']
['KarlAnthonyTowns', 'JohnCollins']
['JaysonTatum', 'AndrewWiggins']
['GaryHarris', 'JabariParker']
['SterlingBrown', 'JRSmith']
['JasonTerry', 'ThaddeusYoung']
['IshSmith', 'ThonMaker']
['MalikMonk', 'MalcolmBrogdon']
['HarrisonBarnes', 'JohnHenson']
['TonySnell', 'KembaWalker']
['ReggieJackson', 'EricBledsoe']
['JeffGreen', 'GiannisAntetokounmpo']
['TobiasHarris', 'KhrisMiddleton']
['DionWaiters', 'StephenCurry']
['SamDekker', 'HassanWhiteside']
['BamAdebayo', 'MichaelCarterWilliams']
['JustiseWinslow', 'KyleKorver']
['KellyOlynyk', 'DanielTheis']
['JamesJohnson', 'DillonBrooks']
['JuliusRandle', 'WayneEllington']
['LarryNance', 'TylerJohnson']
['GoranDragic', 'ChrisPaul']
['JoshRichardson']
