['EM', 'DP', 'OU', 'FH', 'FW']
['QW', 'LO', 'PA', 'FD', 'F']
['SI', 'JL', 'BS', 'RF', 'GK']
['SV', 'EN', 'GP', 'J', 'JH']
['PB', 'MC', 'QA', 'MI', 'GF']
['PF', 'BO', 'QT', 'QP', 'BX']
['ON', 'BJ', 'CQ', 'MO', 'BL']
['JP', 'JQ', 'SM', 'QK', 'MG']
['IH', 'FI', 'GN', 'IS', 'HN']
['QV', 'KY', 'DO', 'U', 'CU']
['RX', 'C', 'PT', 'JA', 'IF']
['EV', 'BM', 'Z', 'MU', 'NC']
['IN', 'EP', 'LW', 'IX', 'LV']
['FF', 'HD', 'PM', 'EO', 'SG']
['GQ', 'FL', 'DJ', 'PW', 'HZ']
['BW', 'RQ', 'HF', 'LT', 'FS']
['MW', 'LZ', 'MA', 'MN', 'FX']
['RV', 'NB', 'ID', 'LP', 'TD']
['EW', 'PV', 'PP', 'M', 'DZ']
['K', 'CY', 'BT', 'GS', 'QJ']
['QR', 'HA', 'CM', 'PR', 'P']
['SS', 'MK', 'QQ', 'HQ', 'FP']
['LG', 'BI', 'LS', 'BF', 'KT']
['LQ', 'G', 'GR', 'FR', 'RT']
['EL', 'KP', 'O', 'DE', 'BQ']
['JB', 'CI', 'SW', 'GM', 'IO']
['SJ', 'HS', 'LM', 'JV', 'MF']
['RI', 'HR', 'IQ', 'RO', 'LR']
['HT', 'EY', 'QI', 'QO', 'PU']
['EA', 'KV', 'PX', 'SQ', 'CB']
['KC', 'EH', 'GV', 'CE', 'JO']
['CJ', 'BE', 'RU', 'SY', 'GJ']
['PH', 'IP', 'NO', 'TF', 'IT']
['CZ', 'GO', 'OQ', 'MZ', 'LA']
['QY', 'BG', 'GT', 'CG', 'HW']
['SP', 'FQ', 'EC', 'MP', 'BK']
['KU', 'BB', 'OW', 'OI', 'FG']
['HX', 'OE', 'HH', 'JN', 'CC']
['NL', 'EQ', 'CK', 'MJ', 'OC']
['RZ', 'MR', 'IV', 'RW', 'KB']
['CH', 'OP', 'DY', 'E', 'GX']
['FO', 'NJ', 'HO', 'JW', 'CO']
['KE', 'CP', 'DU', 'FY', 'L']
['NS', 'ML', 'BV', 'QC', 'GY']
['LK', 'CT', 'SH', 'KQ', 'FE']
['JS', 'FN', 'EB', 'W', 'EF']
['GL', 'KO', 'RJ', 'SK', 'OT']
['GW', 'NX', 'RM', 'FU', 'CL']
['IZ', 'FZ', 'KH', 'HU', 'FJ']
['PL', 'SE', 'EK', 'QS', 'MT']
['KA', 'TA', 'IY', 'OR', 'R']
['KD', 'DV', 'HG', 'MD', 'RE']
['RB', 'KS', 'FB', 'PK', 'FV']
['BD', 'OL', 'EE', 'OB', 'SB']
['DM', 'BN', 'LU', 'N', 'NN']
['MM', 'FT', 'OV', 'QL', 'BC']
['QM', 'NM', 'RC', 'ET', 'DD']
['DK', 'NV', 'KZ', 'JJ', 'OH']
['QU', 'CS', 'RL', 'DQ', 'KJ']
['V', 'RS', 'KF', 'Q', 'PN']
['OK', 'RD', 'FM', 'JT', 'KW']
['LL', 'ME', 'DC', 'A', 'CR']
['PS', 'JZ', 'DS', 'NT', 'BY']
['RK', 'HY', 'RN', 'NW', 'B']
['RH', 'KM', 'DN', 'LE', 'II']
['BR', 'HK', 'NE', 'JY', 'NR']
['Y', 'CW', 'LI', 'LN', 'OG']
['GU', 'LY', 'ND', 'BA', 'MY']
['JR', 'IJ', 'NU', 'RP', 'RA']
['IL', 'NQ', 'HV', 'QZ', 'NA']
['SR', 'LF', 'DI', 'OO', 'ES']
['FC', 'IM', 'CF', 'OF', 'D']
['IR', 'KI', 'GE', 'PE', 'NI']
['PY', 'QE', 'QB', 'JX', 'CD']
['OX', 'GH', 'QH', 'KL', 'HI']
['MS', 'LJ', 'IB', 'SX', 'IA']
['EZ', 'I', 'DF', 'HM', 'FK']
['QX', 'JD', 'MB', 'MX', 'IG']
['SZ', 'QG', 'LH', 'OJ', 'IU']
['MQ', 'PG', 'KG', 'ST', 'OA']
['NZ', 'QN', 'NF', 'GG', 'QF']
['JE', 'SF', 'NY', 'EI', 'JM']
['TC', 'HJ', 'QD', 'EJ', 'JF']
['SU', 'DB', 'CA', 'BU', 'HB']
['HP', 'KK', 'DA', 'OD', 'TB']
['SC', 'TE', 'PO', 'DH', 'IK']
['SA', 'LC', 'GD', 'KX', 'BP']
['ED', 'T', 'ER', 'SD', 'BH']
['NK', 'HL', 'OS', 'EX', 'LB']
['RY', 'JC', 'NG', 'H', 'IW']
['DL', 'LX', 'OY', 'RR', 'IE']
['DT', 'NP', 'PZ', 'RG', 'SO']
['SL', 'JU', 'PI', 'CV', 'GA']
['JG', 'HE', 'NH', 'SN', 'LD']
['JK', 'GI', 'GB', 'GZ', 'CX']
['OZ', 'JI', 'MV', 'DX', 'DG']
['S', 'EU', 'DW', 'FA', 'PC']
['EG', 'IC', 'MH', 'DR', 'PD']
['HC', 'CN', 'PJ', 'BZ', 'KN']
['GC', 'PQ', 'KR', 'OM', 'X']
