['331', '233', '172', '306', '328', '134', '188', '323', '294', '15', '37', '136', '85', '46', '411', '111', '414', '363', '384', '241', '78', '69', '128', '260', '33', '266', '373', '67', '164', '185', '398', '371']
['274', '211', '340', '70', '83', '53', '324', '87', '338', '346', '77', '476', '108', '352', '81', '295', '105', '417', '257', '250', '95', '86', '285', '465', '146', '44', '281', '106', '446', '133', '206', '175']
['308', '311', '466', '145', '173', '401', '19', '5', '395', '272', '71', '30', '386', '378', '387', '255', '110', '309', '413', '353', '256', '412', '347', '216', '400', '269', '25', '135', '431', '374', '140', '327']
['409', '376', '139', '334', '94', '283', '273', '292', '58', '301', '231', '72', '155', '84', '244', '159', '98', '75', '392', '199', '357', '415', '194', '290', '320', '354', '74', '168', '189', '243', '341', '232']
['229', '210', '150', '287', '195', '454', '473', '230', '247', '131', '184', '419', '364', '89', '61', '350', '41', '138', '385', '408', '56', '104', '286', '304', '130', '171', '404', '447', '156', '239', '399', '470']
['163', '91', '459', '160', '339', '112', '203', '284', '389', '262', '52', '34', '265', '109', '402', '313', '132', '302', '344', '101', '475', '288', '310', '472', '3', '391', '365', '282', '223', '276', '12', '115']
['167', '92', '439', '127', '60', '28', '212', '329', '202', '426', '245', '435', '166', '242', '455', '267', '193', '253', '263', '238', '450', '68', '278', '393', '141', '197', '367', '396', '149', '2', '297', '24']
['427', '142', '424', '55', '117', '17', '394', '29', '32', '186', '318', '280', '440', '474', '119', '152', '464', '443', '345', '406', '126', '187', '162', '337', '405', '97', '227', '100', '264', '362', '88', '448']
['73', '6', '248', '359', '300', '218', '249', '107', '204', '221', '96', '200', '469', '471', '1', '82', '343', '407', '259', '434', '158', '99', '420', '478', '381', '113', '40', '451', '35', '314', '356', '122']
['59', '27', '449', '217', '9', '176', '21', '14', '121', '228', '453', '416', '57', '63', '463', '154', '43', '20', '330', '355', '8', '388', '234', '291', '317', '208', '322', '144', '161', '436', '7', '366']
['62', '225', '205', '430', '215', '31', '254', '444', '182', '468', '382', '129', '10', '65', '403', '336', '390', '219', '315', '380', '116', '275', '222', '143', '76', '11', '180', '39', '22', '319', '438', '192']
['213', '360', '452', '321', '445', '335', '307', '425', '379', '198', '333', '251', '423', '179', '236', '177', '456', '147', '279', '0', '258', '369', '298', '191', '23', '79', '479', '375', '169', '458', '170', '45']
['316', '157', '237', '38', '332', '151', '349', '370', '224', '220', '26', '377', '410', '428', '457', '42', '114', '261', '47', '305', '48', '240', '207', '64', '296', '125', '442', '54', '118', '277', '165', '326']
['120', '49', '103', '18', '421', '190', '270', '271', '368', '299', '102', '13', '303', '148', '361', '433', '462', '246', '4', '252', '422', '325', '36', '93', '51', '429', '90', '196', '467', '383', '397', '418']
['461', '460', '289', '201', '80', '226', '293', '342', '183', '432', '137', '209', '372', '358', '66', '214', '123', '174', '16', '441', '348', '437', '235', '124', '477', '153', '50', '178', '268', '181', '351', '312']
