['25', '102', '44', '29', '35', '21', '2', '15', '19', '8', '41', '4']
['34', '26', '23', '6', '13', '1', '182', '38', '16', '32', '7', '30']
['292', '274', '259', '267', '63', '0', '257', '250', '288', '297', '255', '284']
['130', '33', '31', '49', '39', '28', '12', '248', '37', '46', '10', '43']
['245', '11', '36', '20', '42', '244', '118', '242', '243', '24', '48', '47']
['27', '17', '9', '233', '14', '18', '5', '45', '3', '230', '40']
['320', '141', '331', '138', '309', '139', '308', '334', '344', '22', '140']
['466', '483', '486', '490', '485', '472', '499', '470', '474', '454', '450']
['384', '396', '377', '381', '398', '352', '350', '365', '366', '389', '393']
['496', '455', '476', '491', '457', '471', '459', '479', '498', '475', '493']
['464', '497', '451', '460', '467', '468', '462', '481', '482', '488', '480']
['487', '456', '461', '453', '484', '469', '478', '452', '492', '473', '495']
['477', '465', '409', '428', '413', '419', '489', '463', '458', '448', '494']
['412', '439', '449', '425', '432', '408', '401', '407', '411', '440', '414']
['443', '434', '447', '415', '402', '420', '403', '431', '424', '436', '429']
['422', '426', '444', '404', '406', '430', '416', '417', '446', '421', '441']
['427', '400', '410', '435', '433', '437', '438', '405', '423', '418', '445']
['81', '316', '306', '311', '77', '72', '155', '442', '339', '128', '317']
['376', '369', '390', '386', '364', '379', '353', '362', '399', '368', '392']
['385', '360', '394', '382', '397', '374', '375', '355', '371', '395', '351']
['373', '359', '383', '361', '372', '387', '358', '391', '388', '370', '356']
['75', '354', '121', '110', '367', '357', '380', '378', '85', '203', '363']
['336', '328', '340', '329', '343', '319', '330', '337', '349', '300', '327']
['335', '346', '315', '303', '332', '324', '348', '318', '304', '338', '321']
['307', '301', '341', '345', '325', '342', '313', '333', '347', '310', '312']
['322', '158', '323', '302', '149', '314', '133', '97', '206', '305', '326']
['295', '266', '279', '282', '268', '278', '290', '270', '260', '299', '291']
['258', '254', '298', '281', '294', '280', '253', '287', '251', '286', '285']
['262', '265', '296', '264', '273', '256', '289', '261', '271', '283', '272']
['167', '293', '269', '276', '173', '275', '263', '71', '252', '215', '277']
['152', '216', '92', '197', '163', '199', '186', '189', '238', '249', '192']
['202', '247', '62', '127', '229', '134', '225', '67', '132', '218', '234']
['58', '91', '171', '103', '211', '145', '212', '239', '88', '195', '246']
['223', '241', '180', '156', '106', '237', '69', '170', '129', '65', '68']
['222', '221', '226', '214', '188', '89', '53', '159', '104', '87', '240']
['224', '217', '126', '109', '147', '205', '164', '136', '160', '181', '236']
['117', '196', '73', '177', '96', '105', '200', '82', '95', '235', '107']
['207', '213', '100', '108', '210', '79', '112', '154', '209', '113', '232']
['52', '131', '231', '157', '70', '83', '57', '168', '54', '111', '174']
['59', '142', '191', '228', '74', '150', '56', '169', '122', '124', '90']
['227', '183', '166', '148', '151', '61', '98', '172', '66', '123', '179']
['220', '120', '176', '219', '50', '178', '78', '51', '116', '125', '185']
['204', '146', '208', '184', '99', '93', '101', '193', '114', '187', '55']
['60', '135', '137', '84', '198', '190', '201', '144', '161', '80', '119']
['64', '143', '76', '153', '194', '94', '162', '86', '115', '175', '165']
