['409', '29', '457', '294', '452', '314', '243', '391', '366']
['385', '155', '329', '35', '250', '198', '411', '251', '4']
['335', '143', '386', '315', '2', '290', '129', '218', '240']
['449', '67', '148', '136', '118', '165', '410', '299', '393']
['152', '142', '91', '419', '1', '313', '193', '75']
['163', '328', '311', '323', '169', '19', '421', '500']
['384', '258', '34', '108', '353', '253', '448', '392']
['460', '377', '78', '408', '463', '48', '454', '389']
['117', '413', '132', '185', '374', '61', '66', '122']
['307', '77', '396', '74', '479', '485', '170', '111']
['306', '308', '3', '344', '159', '97', '372', '284']
['59', '466', '225', '288', '398', '412', '286', '115']
['245', '102', '60', '106', '242', '41', '395', '414']
['167', '228', '357', '268', '87', '351', '174', '40']
['316', '346', '219', '72', '441', '494', '7', '285']
['426', '103', '176', '469', '432', '475', '104', '95']
['274', '276', '173', '380', '244', '133', '297', '128']
['127', '139', '345', '11', '322', '499', '368', '272']
['25', '267', '57', '248', '46', '270', '238', '175']
['92', '196', '58', '12', '200', '490', '206', '338']
['427', '121', '105', '241', '6', '93', '420', '140']
['126', '199', '160', '442', '318', '365', '215', '192']
['81', '188', '23', '158', '417', '371', '203', '255']
['224', '428', '281', '149', '440', '358', '317', '110']
['177', '180', '21', '71', '498', '287', '195', '388']
['369', '265', '156', '16', '289', '162', '8', '474']
['477', '331', '197', '44', '483', '212', '337', '65']
['259', '334', '14', '56', '187', '263', '359', '214']
['33', '390', '184', '153', '189', '271', '30', '493']
['340', '484', '205', '32', '383', '37', '85', '436']
['223', '456', '430', '339', '186', '378', '349', '260']
['295', '62', '443', '51', '362', '333', '45', '282']
['320', '233', '83', '470', '472', '124', '113', '327']
['292', '301', '298', '26', '379', '350', '482', '487']
['229', '364', '239', '84', '69', '181', '179', '278']
['222', '27', '237', '401', '319', '352', '10', '230']
['208', '444', '447', '425', '15', '53', '343', '492']
['247', '134', '39', '164', '257', '304', '473', '249']
['204', '376', '150', '22', '361', '382', '332', '107']
['221', '400', '28', '89', '101', '486', '462', '68']
['360', '279', '42', '459', '82', '431', '54', '277']
['455', '96', '264', '112', '18', '407', '497', '326']
['52', '157', '296', '468', '330', '88', '273', '300']
['434', '406', '20', '303', '458', '347', '232', '119']
['17', '418', '415', '405', '310', '123', '429', '291']
['422', '73', '109', '342', '402', '471', '194', '355']
['141', '31', '394', '80', '424', '481', '387', '43']
['202', '138', '439', '341', '325', '64', '13', '283']
['130', '216', '373', '491', '38', '478', '375', '161']
['120', '171', '36', '79', '154', '280', '98', '488']
['131', '191', '302', '399', '151', '86', '356', '445']
['217', '147', '145', '168', '235', '321', '370', '480']
['226', '464', '435', '446', '201', '433', '261', '403']
['227', '49', '476', '467', '324', '94', '236', '312']
['309', '465', '336', '231', '70', '397', '144', '209']
['220', '293', '211', '416', '125', '381', '234', '423']
['207', '254', '266', '100', '404', '114', '305', '450']
['496', '213', '461', '183', '256', '5', '24', '90']
['262', '451', '210', '137', '190', '348', '438', '47']
['146', '9', '63', '166', '116', '275', '437', '172']
['354', '269', '453', '178', '50', '99', '495', '55']
['76', '489', '367', '182', '135', '246', '252', '363']
