['wwwww', 'x', 'wwww', 'xxx', 'xxxxxx', 'xxxxxxxx', 'wwwwwww', 'w', 'ww', 'xxxx', 'xx', 'xxxxxxx', 'xxxxx', 'wwwwwwww', 'www', 'wwwwww']
['888', '77777', '7777777', '8888', '77777777', '77', '8888888', '777777', '7', '7777', '777', '8', '88', '888888', '88888888', '88888']
['PPPPPPP', 'PPPPP', 'PPPPPP', 'OOOOOOOO', 'OOOOOO', 'PPP', 'OOOO', 'OOOOO', 'OO', 'OOO', 'OOOOOOO', 'PPPP', 'PPPPPPPP', 'O', 'PP', 'P']
['yyyy', 'yyyyy', 'yyy', 'zzzzz', 'yyyyyyyy', 'zzzzzz', 'zz', 'z', 'zzzzzzzz', 'yy', 'y', 'zzzz', 'yyyyyy', 'yyyyyyy', 'zzzzzzz', 'zzz']
['jjjjj', 'ii', 'jjjjjjjj', 'iiiiiiii', 'jjj', 'iiii', 'jjjj', 'jj', 'i', 'iiiiiii', 'jjjjjj', 'iiiiii', 'jjjjjjj', 'iii', 'iiiii', 'j']
['QQQQQQ', 'QQQQQ', 'RRRRRRR', 'QQQQ', 'QQQQQQQQ', 'RRRRRR', 'QQQ', 'RRRR', 'RRRRRRRR', 'RR', 'QQ', 'Q', 'RRR', 'RRRRR', 'QQQQQQQ', 'R']
['IIIIIII', 'IIII', 'JJJJJ', 'IIIIIIII', 'III', 'IIIII', 'JJJJJJJJ', 'JJJJJJ', 'I', 'JJJ', 'JJJJ', 'IIIIII', 'J', 'JJJJJJJ', 'II', 'JJ']
['GGGG', 'HHHHHH', 'HHHHH', 'GGGGGGG', 'GGG', 'GGGGGGGG', 'GGGGGG', 'HHHHHHH', 'GG', 'HH', 'GGGGG', 'HHHH', 'HHH', 'H', 'HHHHHHHH', 'G']
['uuu', 'vvvvvv', 'uuuuuuu', 'vvvv', 'uuuuuuuu', 'uu', 'v', 'uuuuu', 'vvvvvvvv', 'u', 'vvv', 'uuuu', 'vvvvv', 'uuuuuu', 'vvvvvvv', 'vv']
['mmmm', 'mmmmmmm', 'm', 'mmmmmmmm', 'nnnnn', 'n', 'nnnnnnnn', 'nnnnnn', 'nnn', 'mmmmm', 'nn', 'mmmmmm', 'mmm', 'nnnnnnn', 'mm', 'nnnn']
['kkkkkk', 'llll', 'k', 'll', 'lllll', 'lll', 'kkk', 'kkkkkkkk', 'l', 'lllllll', 'kkkkk', 'llllll', 'kk', 'llllllll', 'kkkkkkk', 'kkkk']
['dddddddd', 'dddd', 'd', 'cc', 'ddddddd', 'cccccccc', 'ddddd', 'c', 'ccccccc', 'ccccc', 'dddddd', 'ccc', 'cccc', 'ddd', 'cccccc', 'dd']
['222', '22222222', '2222222', '2222', '22222', '1111111', '11', '222222', '1', '11111111', '1111', '2', '22', '111111', '111', '11111']
['XXXXX', 'WWW', 'WWWW', 'WW', 'WWWWWW', 'XXXX', 'XX', 'WWWWWWW', 'WWWWWWWW', 'WWWWW', 'W', 'XXXXXX', 'XXXXXXXX', 'XXX', 'XXXXXXX', 'X']
