['Vertex412', 'Vertex388', 'Vertex162', 'Vertex142', 'Vertex293', 'Vertex243', 'Vertex98', 'Vertex268', 'Vertex401', 'Vertex236']
['Vertex228', 'Vertex364', 'Vertex249', 'Vertex269', 'Vertex396', 'Vertex71', 'Vertex206', 'Vertex355', 'Vertex41', 'Vertex148']
['Vertex438', 'Vertex432', 'Vertex342', 'Vertex387', 'Vertex395', 'Vertex343', 'Vertex368', 'Vertex267', 'Vertex210', 'Vertex428']
['Vertex54', 'Vertex82', 'Vertex212', 'Vertex179', 'Vertex183', 'Vertex323', 'Vertex284', 'Vertex390', 'Vertex273', 'Vertex404']
['Vertex238', 'Vertex383', 'Vertex108', 'Vertex336', 'Vertex62', 'Vertex187', 'Vertex281', 'Vertex214', 'Vertex152', 'Vertex295']
['Vertex191', 'Vertex151', 'Vertex114', 'Vertex184', 'Vertex134', 'Vertex287', 'Vertex369', 'Vertex349', 'Vertex120', 'Vertex251']
['Vertex405', 'Vertex372', 'Vertex85', 'Vertex115', 'Vertex330', 'Vertex208', 'Vertex181', 'Vertex439', 'Vertex158', 'Vertex105']
['Vertex146', 'Vertex60', 'Vertex93', 'Vertex376', 'Vertex154', 'Vertex170', 'Vertex40', 'Vertex279', 'Vertex415', 'Vertex271']
['Vertex344', 'Vertex353', 'Vertex331', 'Vertex242', 'Vertex91', 'Vertex174', 'Vertex420', 'Vertex409', 'Vertex116', 'Vertex429']
['Vertex46', 'Vertex424', 'Vertex107', 'Vertex130', 'Vertex328', 'Vertex51', 'Vertex379', 'Vertex129', 'Vertex397', 'Vertex205']
['Vertex257', 'Vertex362', 'Vertex347', 'Vertex172', 'Vertex161', 'Vertex81', 'Vertex237', 'Vertex272', 'Vertex68', 'Vertex52']
['Vertex253', 'Vertex263', 'Vertex375', 'Vertex217', 'Vertex345', 'Vertex226', 'Vertex138', 'Vertex94', 'Vertex386', 'Vertex289']
['Vertex186', 'Vertex302', 'Vertex411', 'Vertex90', 'Vertex313', 'Vertex371', 'Vertex262', 'Vertex403', 'Vertex111', 'Vertex75']
['Vertex43', 'Vertex274', 'Vertex384', 'Vertex223', 'Vertex87', 'Vertex198', 'Vertex192', 'Vertex70', 'Vertex59', 'Vertex374']
['Vertex310', 'Vertex416', 'Vertex418', 'Vertex256', 'Vertex350', 'Vertex359', 'Vertex319', 'Vertex239', 'Vertex165', 'Vertex275']
['Vertex163', 'Vertex317', 'Vertex202', 'Vertex393', 'Vertex339', 'Vertex434', 'Vertex101', 'Vertex96', 'Vertex122', 'Vertex113']
['Vertex118', 'Vertex213', 'Vertex69', 'Vertex231', 'Vertex207', 'Vertex435', 'Vertex352', 'Vertex260', 'Vertex224', 'Vertex112']
['Vertex92', 'Vertex241', 'Vertex127', 'Vertex406', 'Vertex78', 'Vertex430', 'Vertex341', 'Vertex247', 'Vertex218', 'Vertex230']
['Vertex248', 'Vertex64', 'Vertex211', 'Vertex425', 'Vertex433', 'Vertex301', 'Vertex121', 'Vertex53', 'Vertex79', 'Vertex229']
['Vertex221', 'Vertex419', 'Vertex292', 'Vertex103', 'Vertex145', 'Vertex286', 'Vertex394', 'Vertex408', 'Vertex299', 'Vertex49']
['Vertex182', 'Vertex340', 'Vertex63', 'Vertex321', 'Vertex338', 'Vertex110', 'Vertex84', 'Vertex276', 'Vertex126', 'Vertex294']
['Vertex354', 'Vertex318', 'Vertex58', 'Vertex133', 'Vertex216', 'Vertex188', 'Vertex196', 'Vertex57', 'Vertex185', 'Vertex50']
