['a1', 'a4', 'n1', 'a3', 'a6', 'b5', 'c2', 's7', 'n5', 'w8']
['h9', 't6', 'j2', 'l5', 'c7', 'v5', 'c1', 't3', 't9', 'm1']
['b6', 'b1', 'q1', 'q4', 'b7', 'q10', 'q3', 'q9', 'q5', 'q8']
['j10', 'r8', 'a10', 'k3', 'j8', 'a8', 'j5', 'v3', 'j9', 'h6']
['o9', 'n3', 'o2', 'n9', 'o8', 'o3', 'r4', 'n8', 'n6', 'n4']
['y9', 'y4', 'p6', 'd1', 'p10', 'p9', 'w9', 's9', 'j7', 'p2']
['s4', 'l1', 'c10', 'c8', 'l2', 'r9', 'l4', 'k8', 'l8', 'l9']
['u9', 'd9', 'u3', 't5', 'o7', 'u4', 'b8', 'u8', 'o6', 'i3']
['g2', 'f4', 'f7', 'i6', 'y1', 'g8', 'f3', 'f8', 'g10', 'f1']
['k10', 'l6', 'b2', 'r3', 'u1', 'q7', 'k7', 'u10', 'm3', 'u7']
['d6', 'h5', 'e10', 'p8', 'x4', 'h2', 'g7', 'c9', 'e3', 'p4']
['d7', 'r7', 'r1', 'd2', 'r6', 'x2', 'n7', 'r2', 'x7', 'x9']
['h4', 'x3', 'k9', 'f2', 'h1', 'e6', 's10', 'h8', 'h7', 'm4']
['k5', 'j3', 'e8', 'k2', 'v9', 't1', 'w4', 'k4', 'm5', 'k1']
['i7', 'p1', 'v1', 'v10', 'h10', 'v6', 'y7', 'g4', 'g6', 'g1']
['u6', 's6', 's8', 'v2', 'i4', 'o1', 'i5', 'e9', 's1', 's2']
['i8', 'm6', 'm7', 'e7', 'e4', 'n10', 'e5', 'w2', 'm8', 'd10']
['d8', 'r5', 'a5', 'm9', 'l10', 'w5', 'p3', 'i9', 'q2', 't2']
['g5', 'm2', 'c4', 't7', 'r10', 'q6', 'h3', 's5', 'w10', 'y3']
['d3', 'j6', 't8', 'p7', 'a9', 'u5', 'b10', 'e2', 't4', 'p5']
['e1', 'x6', 'x10', 'l3', 'j1', 'f10', 'w1', 'w3', 'd4', 'x5']
['a2', 'l7', 'y8', 'y10', 'y5', 'i1', 'u2', 'y2', 'y6', 'm10']
['c3', 'n2', 'c5', 'f5', 'v8', 'b4', 'v4', 'i10', 'o10', 'k6']
['b9', 'j4', 'x8', 'a7', 'o4', 'd5', 'f6', 'x1', 'f9', 't10']
['i2', 'v7', 'w6', 'w7', 'c6', 'o5', 'b3', 'g9', 'g3', 's3']
